Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Porcetnaje_juegos_t,At_bats_t,Bateos_t,Home_runs_t,RBI_t,Porcentaje_bateo_t,OPS_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Juegos_2_t,Porcetnaje_juegos_2_t,At_bats_2_t,Bateos_2_t,Home_runs_2_t,RBI_2_t,Porcentaje_bateo_2_t,OPS_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Porcetnaje_juegos_t_1,At_bats_t_1,Bateos_t_1,Home_runs_t_1,RBI_t_1,Porcentaje_bateo_t_1,OPS_t_1,Juegos_2_t_1,Porcetnaje_juegos_2_t_1,At_bats_2_t_1,Bateos_2_t_1,Home_runs_2_t_1,RBI_2_t_1,Porcentaje_bateo_2_t_1,OPS_2_t_1
Asdrubal Cabrera,6,2,18500000,9250000,141,0.87,521,146,24,62,0.28,0.816,15.925723758310864,15.925723758310864,15.925723758310864,19881,0.7569,271441,21316,576,3844,0.0784,0.6658559999999999,5,1,7500000,7500000,143,0.883,505,134,15,58,0.265,0.744,20449,0.779689,255025,17956,225,3364,0.070225,0.553536
Chris Young,6,2,13000000,6500000,76,0.469,203,56,9,24,0.276,0.85,15.687312734865866,15.687312734865866,15.687312734865866,5776,0.2199609999999999,41209,3136,81,576,0.076176,0.7224999999999999,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529
Chris Young,6,2,13000000,6500000,76,0.469,203,56,9,24,0.276,0.85,15.687312734865866,15.687312734865866,15.687312734865866,5776,0.2199609999999999,41209,3136,81,576,0.076176,0.7224999999999999,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529
Chris Young,6,2,13000000,6500000,76,0.469,203,56,9,24,0.276,0.85,15.2624295409006,15.319587954740548,15.319587954740548,5776,0.2199609999999999,41209,3136,81,576,0.076176,0.7224999999999999,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529
Chris Young,6,2,13000000,6500000,76,0.469,203,56,9,24,0.276,0.85,15.2624295409006,15.319587954740548,15.319587954740548,5776,0.2199609999999999,41209,3136,81,576,0.076176,0.7224999999999999,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529
Chris Young,6,2,11500000,5750000,76,0.469,203,56,9,24,0.276,0.85,15.687312734865866,15.687312734865866,15.687312734865866,5776,0.2199609999999999,41209,3136,81,576,0.076176,0.7224999999999999,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529
Chris Young,6,2,11500000,5750000,76,0.469,203,56,9,24,0.276,0.85,15.687312734865866,15.687312734865866,15.687312734865866,5776,0.2199609999999999,41209,3136,81,576,0.076176,0.7224999999999999,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529
Chris Young,6,2,11500000,5750000,76,0.469,203,56,9,24,0.276,0.85,15.2624295409006,15.319587954740548,15.319587954740548,5776,0.2199609999999999,41209,3136,81,576,0.076176,0.7224999999999999,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529
Chris Young,6,2,11500000,5750000,76,0.469,203,56,9,24,0.276,0.85,15.2624295409006,15.319587954740548,15.319587954740548,5776,0.2199609999999999,41209,3136,81,576,0.076176,0.7224999999999999,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529
Stephen Drew,6,1,3000000,3000000,70,0.432,143,38,8,21,0.266,0.864,14.914122846632385,14.914122846632385,14.914122846632385,4900,0.1866239999999999,20449,1444,64,441,0.070756,0.7464959999999999,5,1,5000000,5000000,131,0.809,383,77,17,44,0.201,0.652,17161,0.6544810000000001,146689,5929,289,1936,0.040401,0.425104
Kelly Johnson,6,1,2000000,2000000,131,0.814,304,75,10,34,0.247,0.698,14.508657738524219,14.626440774180603,14.239923679924543,17161,0.662596,92416,5625,100,1156,0.061009,0.4872039999999999,5,1,1500000,1500000,111,0.685,310,82,14,47,0.265,0.753,12321,0.469225,96100,6724,196,2209,0.070225,0.567009
Franklin Gutierrez,6,1,1500000,1500000,98,0.605,248,61,14,39,0.246,0.78,14.22097566607244,14.73180128983843,14.73180128983843,9604,0.366025,61504,3721,196,1521,0.060516,0.6084,5,1,0,0,59,0.364,171,50,15,35,0.292,0.974,3481,0.132496,29241,2500,225,1225,0.0852639999999999,0.948676
Gordon Beckham,6,1,1250000,1250000,88,0.547,245,52,5,31,0.212,0.633,14.038654109278484,14.038654109278484,10.620912625555597,7744,0.299209,60025,2704,25,961,0.044944,0.400689,5,1,2000000,2000000,100,0.617,210,44,6,20,0.21,0.601,10000,0.380689,44100,1936,36,400,0.0440999999999999,0.361201
Eric Young Jr.,6,1,1000000,1000000,6,0.037,1,0,0,0,0.0,0.0,13.815510557964274,13.815510557964274,13.815510557964274,36,0.0013689999999999,1,0,0,0,0.0,0.0,5,1,1000000,1000000,53,0.327,85,13,0,5,0.153,0.464,2809,0.106929,7225,169,0,25,0.023409,0.215296
Billy Butler,6,1,49914,49914,97,0.599,250,71,5,35,0.284,0.752,13.137251989898079,13.137251989898079,10.818056803511944,9409,0.358801,62500,5041,25,1225,0.0806559999999999,0.565504,5,3,30000000,10000000,151,0.932,538,135,15,65,0.251,0.713,22801,0.8686240000000001,289444,18225,225,4225,0.063001,0.508369
