Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Yu Darvish,2018,UFA,LAD,6,126000000,21000000,SP,8,8,40.0,36,24,22,21,49,1,3,0,1.42,4.95,CHC,25000000,25000000,25000000,0.1361111111111111,0.058333333333333334,2.3333333333333335,64,64,1600.0,1296,576,484,441,2401,1,9,0,2.0164,24.5025,0.003402777777777778,5.4444444444444455,4096
Jake Arrieta,2018,UFA,CHC,3,75000000,25000000,SP,31,31,172.7,165,93,76,57,138,10,11,0,1.29,3.96,PHI,30000000,30000000,30000000,0.08878594865856013,0.03667245705462266,2.4210526315789473,961,961,29825.289999999997,27225,8649,5776,3249,19044,100,121,0,1.6641000000000001,15.6816,0.0013448691064231431,5.861495844875346,923521
Alex Cobb,2018,UFA,TB,4,57000000,14250000,SP,28,28,152.3,172,93,83,43,102,5,15,0,1.41,4.9,BAL,14000000,14000000,7500000,0.07441453272050777,0.03137083242139053,2.372093023255814,784,784,23195.290000000005,29584,8649,6889,1849,10404,25,225,0,1.9880999999999998,24.010000000000005,0.0009841291268109671,5.626825310978909,614656
Wade Davis,2018,UFA,CHC,3,52000000,17333333,RP,69,0,65.3,43,31,30,26,78,3,6,43,1.06,4.13,COL,16000000,16000000,16000000,0.13272077590607453,0.04424025863535818,3.0,4761,0,4264.089999999999,1849,961,900,676,6084,9,36,1849,1.1236000000000002,17.0569,0.001957200484123384,9.0,22667121
Tyler Chatwood,2018,UFA,COL,3,38000000,12666667,SP,25,20,103.7,92,62,61,95,85,4,6,0,1.8,5.3,CHC,12500000,12500000,12500000,0.09107468123861566,0.10178934961962927,0.8947368421052632,625,400,10753.69,8464,3844,3721,9025,7225,16,36,0,3.24,28.09,0.01036107169598712,0.8005540166204986,390625
Mike Minor,2018,UFA,KC,3,28000000,9333333,SP,28,28,157.0,138,76,73,38,132,12,8,0,1.12,4.19,TEX,8000000,8333333,8333333,0.09341825902335456,0.02689313517338995,3.473684210526316,784,784,24649.0,19044,5776,5329,1444,17424,144,64,0,1.2544000000000002,17.556100000000004,0.0007232407194542237,12.066481994459835,614656
Jake McGee,2018,UFA,COL,3,27000000,9000000,RP,61,0,51.3,59,39,37,16,47,2,4,1,1.46,6.49,COL,7000000,7000000,7000000,0.10179770413688542,0.03465453757851419,2.9375,3721,0,2631.6899999999996,3481,1521,1369,256,2209,4,16,1,2.1315999999999997,42.1201,0.001200936974780652,8.62890625,13845841
Bryan Shaw,2018,UFA,CLE,3,27000000,9000000,RP,61,0,54.7,70,43,36,28,54,4,6,0,1.79,5.93,COL,7500000,7500000,7500000,0.10968921389396709,0.05687588868576071,1.9285714285714286,3721,0,2992.09,4900,1849,1296,784,2916,16,36,0,3.2041,35.164899999999996,0.0032348667137950433,3.719387755102041,13845841
Brandon Morrow,2018,UFA,LAD,2,21000000,10500000,RP,35,0,30.7,24,5,5,9,31,0,0,22,1.08,1.47,CHC,9000000,9000000,9000000,0.11219688744118711,0.03257328990228013,3.4444444444444446,1225,0,942.49,576,25,25,81,961,0,0,484,1.1664,2.1609,0.0010610192150579847,11.8641975308642,1500625
Tommy Hunter,2018,UFA,TB,2,18000000,9000000,RP,65,0,64.0,65,28,27,15,51,5,4,4,1.25,3.8,PHI,9000000,9000000,9000000,0.08854166666666667,0.026041666666666668,3.4,4225,0,4096.0,4225,784,729,225,2601,25,16,16,1.5625,14.44,0.0006781684027777779,11.559999999999999,17850625
Juan Nicasio,2018,UFA,STL,2,17000000,8500000,RP,46,0,42.0,53,30,28,5,53,1,6,1,1.38,6.0,SEA,7500000,7750000,7750000,0.1402116402116402,0.013227513227513227,10.6,2116,0,1764.0,2809,900,784,25,2809,1,36,1,1.9043999999999996,36.0,0.0001749671061840374,112.36,4477456
Addison Reed,2018,UFA,BOS,2,16750000,8375000,RP,55,0,56.0,65,30,28,15,44,1,6,0,1.43,4.5,MIN,8250000,8250000,8250000,0.0873015873015873,0.02976190476190476,2.933333333333333,3025,0,3136.0,4225,900,784,225,1936,1,36,0,2.0448999999999997,20.25,0.0008857709750566893,8.604444444444443,9150625
Pat Neshek,2018,UFA,COL,2,16200000,8100000,RP,30,0,24.3,23,9,7,5,15,3,2,5,1.15,2.59,PHI,5750000,7750000,7750000,0.06858710562414265,0.022862368541380886,3.0,900,0,590.49,529,81,49,25,225,9,4,25,1.3224999999999998,6.708099999999999,0.0005226878953219224,9.0,810000
Andrew Cashner,2018,UFA,TEX,2,16000000,8000000,SP,30,28,153.0,177,97,90,65,99,5,16,0,1.58,5.29,BAL,5000000,9500000,9500000,0.0718954248366013,0.04720406681190995,1.523076923076923,900,784,23409.0,31329,9409,8100,4225,9801,25,256,0,2.4964000000000004,27.9841,0.0022282239235832586,2.3197633136094673,810000
Jason Vargas,2018,UFA,KC,2,16000000,8000000,SP,21,20,92.0,100,60,59,30,84,6,9,0,1.41,5.77,NYM,6000000,6000000,6000000,0.10144927536231885,0.036231884057971016,2.8,441,400,8464.0,10000,3600,3481,900,7056,36,81,0,1.9880999999999998,33.292899999999996,0.0013127494223902543,7.839999999999999,194481
Jhoulys Chacin,2018,UFA,SD,2,15500000,7750000,SP,36,35,192.7,153,83,75,71,156,15,8,0,1.16,3.5,MIL,8000000,8750000,8750000,0.08994983566856946,0.040938707259413024,2.1971830985915495,1296,1225,37133.28999999999,23409,6889,5625,5041,24336,225,64,0,1.3456,12.25,0.0016759777520719166,4.827613568736362,1679616
Joe Smith,2018,UFA,CLE,2,15000000,7500000,RP,56,0,45.7,34,20,19,12,46,5,1,0,1.01,3.75,HOU,7000000,7000000,7000000,0.11184050571359105,0.029175784099197664,3.8333333333333335,3136,0,2088.4900000000002,1156,400,361,144,2116,25,1,0,1.0201,14.0625,0.0008512263778029952,14.694444444444446,9834496
Greg Holland,2018,UFA,COL,1,14000000,14000000,RP,56,0,46.3,43,30,24,32,47,2,2,3,1.62,4.66,WSH,545000,545000,161150,0.11279097672186225,0.07679385649148068,1.46875,3136,0,2143.6899999999996,1849,900,576,1024,2209,4,4,9,2.6244000000000005,21.715600000000002,0.00589729639483413,2.1572265625,9834496
Anthony Swarzak,2018,UFA,MIL,2,14000000,7000000,RP,29,0,26.3,28,18,18,14,31,0,2,4,1.6,6.15,NYM,5000000,5500000,5500000,0.13096746937051118,0.05914659907055344,2.2142857142857144,841,0,691.69,784,324,324,196,961,0,4,16,2.5600000000000005,37.822500000000005,0.003498320181612793,4.903061224489797,707281
Steve Cishek,2018,UFA,SEA,2,13000000,6500000,RP,81,0,70.3,45,19,17,28,78,4,3,4,1.04,2.18,CHC,6500000,7500000,7500000,0.12328117591275488,0.04425478109688637,2.7857142857142856,6561,0,4942.089999999999,2025,361,289,784,6084,16,9,16,1.0816000000000001,4.752400000000001,0.001958485649933331,7.7602040816326525,43046721
Lance Lynn,2018,UFA,STL,1,12000000,12000000,SP,31,29,156.7,163,87,83,76,161,10,10,0,1.53,4.77,NYY,12000000,12000000,1999996,0.11416010777848686,0.053889243423385094,2.1184210526315788,961,841,24554.889999999996,26569,7569,6889,5776,25921,100,100,0,2.3409,22.752899999999997,0.002904050556744854,4.487707756232687,923521
