Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Zack Greinke,2013,UFA,LAA,6,147000000,24500000,SP,29,0.179,58,19,0,4,0.328,0.788,LAD,17000000,19000000,19000000,841,0.032041,3364,361,0,16,0.10758400000000001,0.620944
Josh Hamilton,2013,UFA,TEX,5,125000000,25000000,LF,151,0.932,576,144,21,79,0.25,0.739,LAA,15000000,17400000,17400000,22801,0.8686240000000001,331776,20736,441,6241,0.0625,0.546121
Anibal Sanchez,2013,UFA,DET,5,80000000,16000000,RP,29,0.179,4,0,0,0,0.0,0.2,DET,8000000,8800000,8800000,841,0.032041,16,0,0,0,0.0,0.04000000000000001
Melvin Upton,2013,UFA,TB,5,72500000,14500000,LF,126,0.778,391,72,9,26,0.184,0.557,ATL,12450000,13050000,13050000,15876,0.605284,152881,5184,81,676,0.033856,0.31024900000000005
Edwin Jackson,2013,UFA,WSH,4,52000000,13000000,SP,31,0.191,52,4,1,4,0.077,0.265,CHC,11000000,13000000,13000000,961,0.036481,2704,16,1,16,0.005929,0.07022500000000001
Angel Pagan,2013,UFA,SF,4,40000000,10000000,LF,71,0.438,280,79,5,30,0.282,0.749,SF,7000000,8250000,8250000,5041,0.191844,78400,6241,25,900,0.07952399999999998,0.561001
Shane Victorino,2013,UFA,LAD,3,39000000,13000000,RF,122,0.753,477,139,15,61,0.291,0.795,BOS,13000000,13000000,13000000,14884,0.567009,227529,19321,225,3721,0.08468099999999999,0.6320250000000001
Kyle Lohse,2013,UFA,STL,3,33000000,11000000,SP,33,0.204,55,8,0,3,0.146,0.306,MIL,4000000,4350000,4350000,1089,0.04161599999999999,3025,64,0,9,0.021315999999999998,0.093636
David Ortiz,2013,UFA,BOS,2,29000000,14500000,DH,137,0.846,518,160,30,103,0.309,0.959,BOS,14000000,14550000,14550000,18769,0.7157159999999999,268324,25600,900,10609,0.095481,0.919681
Cody Ross,2013,UFA,BOS,3,26000000,8666667,RF,94,0.58,317,88,8,38,0.278,0.745,ARI,5000000,6000000,6000000,8836,0.3364,100489,7744,64,1444,0.07728400000000002,0.555025
Torii Hunter,2013,UFA,LAA,2,26000000,13000000,RF,144,0.889,606,184,17,84,0.304,0.8,DET,12000000,12000000,12000000,20736,0.790321,367236,33856,289,7056,0.092416,0.6400000000000001
Jeremy Guthrie,2013,UFA,KC,3,25000000,8333333,SP,33,0.204,4,1,0,0,0.25,0.5,KC,5000000,5000000,5000000,1089,0.04161599999999999,16,1,0,0,0.0625,0.25
Adam LaRoche,2013,UFA,WSH,2,24000000,12000000,DH,152,0.938,511,121,20,62,0.237,0.735,WSH,10000000,10000000,10000000,23104,0.8798439999999998,261121,14641,400,3844,0.056169,0.540225
Marco Scutaro,2013,UFA,SF,3,20000000,6666667,2B,127,0.784,488,145,2,31,0.297,0.726,SF,6000000,6691667,6691667,16129,0.6146560000000001,238144,21025,4,961,0.088209,0.527076
Russell Martin,2013,UFA,NYY,2,17000000,8500000,C,127,0.784,438,99,15,55,0.226,0.703,PIT,6500000,7500000,7500000,16129,0.6146560000000001,191844,9801,225,3025,0.051076,0.49420899999999995
Melky Cabrera,2013,UFA,SF,2,16000000,8000000,LF,88,0.543,344,96,3,30,0.279,0.682,TOR,8000000,8000000,8000000,7744,0.294849,118336,9216,9,900,0.07784100000000002,0.4651240000000001
Brandon McCarthy,2013,UFA,OAK,2,15500000,7750000,SP,22,0.136,37,1,0,0,0.027,0.127,ARI,4000000,5250000,5250000,484,0.018496000000000002,1369,1,0,0,0.0007289999999999999,0.016129
Joe Blanton,2013,UFA,LAD,2,15000000,7500000,RP,28,0.173,6,1,0,0,0.167,0.333,LAA,6500000,6500000,6500000,784,0.029928999999999997,36,1,0,0,0.027889000000000004,0.11088900000000002
Hiroki Kuroda,2013,UFA,NYY,1,15000000,15000000,SP,32,0.198,6,0,0,0,0.0,0.0,NYY,15000000,15000000,15000000,1024,0.039204,36,0,0,0,0.0,0.0
Ryan Ludwick,2013,UFA,CIN,2,15000000,7500000,LF,38,0.235,129,31,2,12,0.24,0.618,CIN,1000000,2000000,2000000,1444,0.055224999999999996,16641,961,4,144,0.0576,0.381924
Hisashi Iwakuma,2013,UFA,SEA,2,14000000,7000000,SP,33,0.204,3,0,0,0,0.0,0.0,SEA,6500000,6550000,6550000,1089,0.04161599999999999,9,0,0,0,0.0,0.0
Ichiro Suzuki,2013,UFA,NYY,2,13000000,6500000,RF,150,0.926,520,136,7,35,0.262,0.639,NYY,6500000,6500000,6500000,22500,0.8574760000000001,270400,18496,49,1225,0.06864400000000001,0.408321
Dan Haren,2013,UFA,LAA,1,13000000,13000000,SP,31,0.191,47,8,0,2,0.17,0.438,WSH,13000000,13000000,13000000,961,0.036481,2209,64,0,4,0.028900000000000006,0.191844
Jonny Gomes,2013,UFA,OAK,2,10000000,5000000,LF,116,0.716,311,77,13,52,0.248,0.773,BOS,5000000,5000000,5000000,13456,0.512656,96721,5929,169,2704,0.061503999999999996,0.597529
Maicer Izturis,2013,UFA,LAA,3,10000000,3333333,2B,107,0.661,365,86,5,32,0.236,0.597,TOR,3000000,3000000,3000000,11449,0.43692100000000006,133225,7396,25,1024,0.055695999999999996,0.356409
Kevin Correia,2013,UFA,PIT,2,10000000,5000000,SP,32,0.198,7,0,0,0,0.0,0.0,MIN,4500000,4500000,4500000,1024,0.039204,49,0,0,0,0.0,0.0
Carlos Villanueva,2013,UFA,TOR,2,10000000,5000000,RP,47,0.29,32,5,0,1,0.156,0.313,CHC,5000000,5000000,5000000,2209,0.0841,1024,25,0,1,0.024336,0.097969
Stephen Drew,2013,UFA,OAK,1,9500000,9500000,2B,124,0.765,441,112,13,67,0.254,0.778,BOS,9500000,10000000,10000000,15376,0.585225,194481,12544,169,4489,0.064516,0.605284
