Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Matt Garza,2014,UFA,TEX,4,50000000,12500000,SP,27,27,163.3,143,77,66,50,126,8,8,0,1.18,3.64,MIL,12500000,12500000,12500000,0.08573178199632578,0.03402054841124039,2.52,729,729,26666.890000000003,20449,5929,4356,2500,15876,64,64,0,1.3923999999999999,13.249600000000001,0.0011573977142015509,6.3504000000000005,531441
Ricky Nolasco,2014,UFA,LAD,4,49000000,12250000,SP,27,27,159.0,203,96,95,38,115,6,12,0,1.52,5.38,MIN,12000000,12000000,12000000,0.0803633822501747,0.026554856743535988,3.026315789473684,729,729,25281.0,41209,9216,9025,1444,13225,36,144,0,2.3104,28.944399999999998,0.0007051604166697187,9.158587257617727,531441
Jason Vargas,2014,UFA,LAA,4,32000000,8000000,SP,30,30,187.0,197,82,77,41,128,11,10,0,1.27,3.71,KC,7000000,7000000,7000000,0.07605466428995841,0.0243612596553773,3.1219512195121952,900,900,34969.0,38809,6724,5929,1681,16384,121,100,0,1.6129,13.7641,0.0005934709719967137,9.746579417013683,810000
Scott Feldman,2014,UFA,BAL,3,30000000,10000000,SP,29,29,180.3,185,86,75,50,107,8,12,0,1.3,3.74,HOU,12000000,12000000,12000000,0.06593948357675479,0.03081284279287607,2.14,841,841,32508.090000000004,34225,7396,5625,2500,11449,64,144,0,1.6900000000000002,13.987600000000002,0.0009494312809784947,4.5796,707281
Tim Hudson,2014,UFA,ATL,3,28000000,9333333,SP,31,31,189.3,199,86,75,34,120,9,13,0,1.23,3.57,SF,11000000,11025000,11025000,0.07043493572812115,0.01995656512296766,3.5294117647058822,961,961,35834.490000000005,39601,7396,5625,1156,14400,81,169,0,1.5129,12.7449,0.0003982644915072492,12.45674740484429,923521
Phil Hughes,2014,UFA,NYY,3,24000000,8000000,RP,32,32,209.7,221,88,82,16,186,16,10,0,1.13,3.52,MIN,8000000,8500000,8500000,0.09855348911142903,0.00847771949345626,11.625,1024,1024,43974.09,48841,7744,6724,256,34596,256,100,0,1.2768999999999997,12.3904,7.187172780972827e-05,135.140625,1048576
Bronson Arroyo,2014,UFA,CIN,2,23500000,11750000,SP,15,14,86.0,92,40,39,19,47,7,4,0,1.29,4.08,ARI,9500000,9500000,9500000,0.060723514211886306,0.02454780361757106,2.473684210526316,225,196,7396.0,8464,1600,1521,361,2209,49,16,0,1.6641000000000001,16.6464,0.0006025946624468348,6.119113573407203,50625
Scott Kazmir,2014,UFA,CLE,2,22000000,11000000,SP,32,32,190.3,171,81,75,50,164,15,9,0,1.16,3.55,OAK,7000000,9050000,9050000,0.09575524026391079,0.02919367081216792,3.28,1024,1024,36214.090000000004,29241,6561,5625,2500,26896,225,81,0,1.3456,12.6025,0.0008522704154892252,10.758399999999998,1048576
Joe Nathan,2014,UFA,TEX,2,20000000,10000000,RP,62,0,58.0,60,32,31,29,54,5,4,35,1.53,4.81,DET,9000000,9000000,9000000,0.10344827586206896,0.05555555555555555,1.8620689655172413,3844,0,3364.0,3600,1024,961,841,2916,25,16,1225,2.3409,23.136099999999995,0.0030864197530864196,3.4673008323424495,14776336
Bartolo Colon,2014,UFA,OAK,2,20000000,10000000,SP,31,31,202.3,218,97,92,30,151,15,13,0,1.23,4.09,NYM,9000000,9000000,9000000,0.08293513483824902,0.01647717910693689,5.033333333333333,961,961,40925.29000000001,47524,9409,8464,900,22801,225,169,0,1.5129,16.728099999999998,0.0002714974313220776,25.334444444444443,923521
