Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status_agente_libre,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
LAD,MIL,6.2,6.2,2016,2013,2013,6,6,4,0,3,23104,40000,152,200,2000000,0,7,3,5,1,2916,7056,2704,6724,52,82,54,84,10.351606805293006,13.717421124828533,3.217391304347826,3.7037037037037037,0.06701018358446847,0.06469750477521277,0.2588632526730445,0.25435704192180875,0.6936630724169175,0.8874829187271985,0.8328643781654474,0.9420631182289213,6.916899999999999,12.1104,2.63,3.48,29,25,29,LAA,Los Angeles Dodgers,Milwaukee Brewers,California,72397172,43397172,31577.289999999997,45071.29000000001,177.7,212.3,28,34,29,37,162,162,Zack Greinke,16,25,4,5,29000000,13500000,25,1,200.0,200.0,27,4,0.17901234567901234,0.22839506172839505,SP,SP,0.5679012345679012,0.5123456790123457,0,0,0,0,UFA,21904,40000,148,200,19000000,13500000,17000000,13500000,0.08,0.122,19000000,13500000,3580.8256000000006,3567.6728999999996,59.84,59.73,147000000,24500000,9500000,150850000,40250000,147000000,38000000,24500000,92,83,18.576099999999997,2.1609,4.31,1.47,1.2321000000000002,1.44,1.11,1.2,6,0,2116,2916,46,54,225,225,15,15,16.759949537130716,16.64872390202049,16.759949537130716
LAD,MIL,6.2,6.2,2016,2013,2013,6,6,4,0,2,23104,40000,152,200,2000000,0,7,3,5,1,2916,7056,2704,6724,52,82,54,84,10.351606805293006,13.717421124828533,3.217391304347826,3.7037037037037037,0.06701018358446847,0.06469750477521277,0.2588632526730445,0.25435704192180875,0.6936630724169175,0.8874829187271985,0.8328643781654474,0.9420631182289213,6.916899999999999,12.1104,2.63,3.48,29,25,29,LAA,Los Angeles Dodgers,Milwaukee Brewers,California,72397172,29897172,31577.289999999997,45071.29000000001,177.7,212.3,28,34,29,37,162,162,Zack Greinke,16,25,4,5,29000000,13500000,25,1,200.0,200.0,27,4,0.17901234567901234,0.22839506172839505,SP,SP,0.5679012345679012,0.5123456790123457,0,0,0,0,UFA,21904,40000,148,200,19000000,13500000,17000000,13500000,0.08,0.146,19000000,13500000,3580.8256000000006,3567.6728999999996,59.84,59.73,147000000,24500000,9500000,150850000,40250000,147000000,38000000,24500000,92,83,18.576099999999997,2.1609,4.31,1.47,1.2321000000000002,1.44,1.11,1.2,6,0,2116,2916,46,54,225,225,15,15,16.759949537130716,16.64872390202049,16.759949537130716
DET,DET,6.0,6.0,2018,2013,2013,5,5,1,1,1,24336,40000,156,200,800000,0,4,3,1,1,3136,9025,2704,7056,52,84,56,95,13.993141289437586,12.104600694444443,3.740740740740741,3.4791666666666665,0.08803284627460452,0.06015902976853657,0.2967032967032967,0.2452733776188043,1.2318560560318803,0.7282010335133318,1.10989010989011,0.85334695963209,6.604899999999999,14.8996,2.57,3.86,28,27,29,DET,Detroit Tigers,Detroit Tigers,Michigan,25987701,13987701,33124.0,38298.49,182.0,195.7,29,31,29,31,162,162,Anibal Sanchez,64,169,8,13,12000000,3147540,11,11,205.0,205.0,15,14,0.17901234567901234,0.19135802469135801,RP,RP,0.5740740740740741,0.5432098765432098,0,0,0,0,UFA,40804,27889,202,167,8800000,3147540,8000000,8000000,0.057,0.022,8800000,8000000,6528.639999999999,2546.2116,80.8,50.46,80000000,16000000,8000000,107775000,221000000,80000000,8000000,16000000,93,88,37.209999999999994,1.6900000000000002,6.1,1.3,1.3224999999999998,1.6129,1.15,1.27,4,4,2916,2304,54,48,196,81,14,9,15.990262279448435,15.89495209964411,15.990262279448435
CHC,WSH,6.233201581027661,6.241500000000008,2017,2013,2013,4,4,1,0,0,38809,29929,197,173,2000000,0,10,6,2,1,12100,8100,9409,7225,97,85,110,90,5.235564492961793,8.390011890606422,2.288135593220339,2.896551724137931,0.11327659632627171,0.09348056429581542,0.33656588705077006,0.3057459146020032,0.5930669256093946,0.7843030459824896,0.7701083856246435,0.885608856088561,24.800400000000003,16.240900000000003,4.98,4.03,29,28,29,WSH,Chicago Cubs,Washington Nationals,Illinois,47247999,28247999,30730.090000000004,35986.09,175.3,189.7,31,31,31,34,162,162,Edwin Jackson,324,121,18,11,19000000,11000000,17,1,210.0,210.0,16,2,0.19135802469135801,0.20987654320987653,SP,SP,0.4074074074074074,0.6049382716049383,0,0,0,0,UFA,18225,28224,135,168,13000000,11000000,11000000,11000000,0.13,0.112,13000000,11000000,110.67039999999999,1241.8576,10.52,35.24,52000000,13000000,11000000,73850000,18650000,52000000,11000000,13000000,66,98,2.087668225118123,4.536899999999999,1.444876543209877,2.13,2.1315999999999997,1.4884,1.46,1.22,2,0,3481,3364,59,58,64,100,8,10,16.38045991542581,16.213405830762646,16.38045991542581
CHC,STL,6.233201581027661,6.241500000000008,2017,2012,2013,4,4,2,0,1,38809,29929,197,173,2000000,400000,10,5,2,2,12100,8100,9409,7225,97,85,110,90,5.235564492961793,8.390011890606422,2.288135593220339,2.896551724137931,0.11327659632627171,0.09348056429581542,0.33656588705077006,0.3057459146020032,0.5930669256093946,0.7843030459824896,0.7701083856246435,0.885608856088561,24.800400000000003,16.240900000000003,4.98,4.03,29,26,29,WSH,Chicago Cubs,St. Louis Cardinals,Illinois,47247999,17247999,30730.090000000004,35986.09,175.3,189.7,31,31,31,34,162,162,Edwin Jackson,324,121,18,11,19000000,3007795,17,23,210.0,210.0,16,26,0.19135802469135801,0.20987654320987653,SP,SP,0.4074074074074074,0.5432098765432098,0,0,0,0,UFA,18225,28224,135,168,13000000,3007796,11000000,8350000,0.13,0.025,13000000,8750000,110.67039999999999,1241.8576,10.52,35.24,52000000,13000000,6675000,73850000,40850000,52000000,13350000,13000000,66,88,2.087668225118123,4.536899999999999,1.444876543209877,2.13,2.1315999999999997,1.4884,1.46,1.22,2,11,3481,3364,59,58,64,100,8,10,16.38045991542581,16.213405830762646,16.38045991542581
MIL,STL,6.2,6.2,2016,2013,2013,3,3,4,0,3,38416,36864,196,192,0,312500,7,5,1,2,6084,5476,5476,4489,74,67,78,74,12.056327160493828,14.16135734072022,3.4722222222222223,3.763157894736842,0.03282534258285296,0.032434132207272974,0.18117765475591344,0.18009478672985782,0.3957530693341648,0.4593113362233553,0.6290890790135883,0.6777251184834123,11.2225,8.179599999999999,3.35,2.86,34,30,34,STL,Milwaukee Brewers,St. Louis Cardinals,Wisconsin,61590000,57240000,39481.689999999995,44521.0,198.7,211.0,32,33,33,34,162,162,Kyle Lohse,100,9,10,3,4350000,11875000,1,23,214.0,214.0,4,26,0.2037037037037037,0.20987654320987653,SP,SP,0.4567901234567901,0.5432098765432098,0,0,0,0,UFA,15625,20449,125,143,4350000,12187500,4000000,11875000,0.049,0.102,4350000,12187500,2375.5876000000003,7437.337599999999,48.74,86.24,33000000,11000000,10250000,43300000,40850000,33000000,41000000,11000000,74,88,8.940100000000001,16.080099999999998,2.99,4.01,1.3688999999999998,1.1881000000000002,1.17,1.09,0,11,1296,1444,36,38,121,256,11,16,15.285686403064867,15.201804919084164,15.285686403064867
MIL,STL,6.2,6.2,2016,2013,2013,3,3,4,0,2,38416,36864,196,192,0,312500,7,5,1,2,6084,5476,5476,4489,74,67,78,74,12.056327160493828,14.16135734072022,3.4722222222222223,3.763157894736842,0.03282534258285296,0.032434132207272974,0.18117765475591344,0.18009478672985782,0.3957530693341648,0.4593113362233553,0.6290890790135883,0.6777251184834123,11.2225,8.179599999999999,3.35,2.86,34,30,34,STL,Milwaukee Brewers,St. Louis Cardinals,Wisconsin,61590000,45365000,39481.689999999995,44521.0,198.7,211.0,32,33,33,34,162,162,Kyle Lohse,100,9,10,3,4350000,11875000,1,23,214.0,214.0,4,26,0.2037037037037037,0.20987654320987653,SP,SP,0.4567901234567901,0.5432098765432098,0,0,0,0,UFA,15625,20449,125,143,4350000,12187500,4000000,11875000,0.049,0.103,4350000,12187500,2375.5876000000003,7437.337599999999,48.74,86.24,33000000,11000000,10250000,43300000,40850000,33000000,41000000,11000000,74,88,8.940100000000001,16.080099999999998,2.99,4.01,1.3688999999999998,1.1881000000000002,1.17,1.09,0,11,1296,1444,36,38,121,256,11,16,15.285686403064867,15.201804919084164,15.285686403064867
WSH,NYY,6.1,6.1,2015,2013,2013,2,2,3,0,1,4225,3025,65,55,0,0,11,9,1,2,576,289,529,289,23,17,24,17,9.0,8.265625,3.0,2.875,0.06496002373625781,0.12567391546247345,0.25487256371814093,0.35450516986706054,0.5846402136263202,1.0387734574945073,0.7646176911544228,1.0192023633677991,9.672099999999999,5.107599999999999,3.11,2.26,33,31,33,NYY,Washington Nationals,New York Yankees,Washington DC,48350000,39850000,4448.89,4583.29,66.7,67.7,0,0,68,69,162,162,Rafael Soriano,9,1,3,1,7000000,11000000,1,40,230.0,230.0,2,50,0.41975308641975306,0.42592592592592593,RP,RP,0.5308641975308642,0.5864197530864198,1849,1764,43,42,UFA,2601,4761,51,69,7000000,11000000,11000000,11000000,0.06,0.048,11000000,11000000,92.3521,1616.8441,9.61,40.21,28000000,14000000,11666667,67000000,9100000,28000000,35000000,14000000,86,95,0.7055999999999999,6.5536,0.84,2.56,1.5129,1.3688999999999998,1.23,1.17,0,27,289,576,17,24,9,4,3,2,15.761420707019587,16.213405830762646,16.213405830762646
WSH,NYY,6.1,6.1,2015,2013,2013,2,2,3,0,0,4225,3025,65,55,0,0,11,9,1,2,576,289,529,289,23,17,24,17,9.0,8.265625,3.0,2.875,0.06496002373625781,0.12567391546247345,0.25487256371814093,0.35450516986706054,0.5846402136263202,1.0387734574945073,0.7646176911544228,1.0192023633677991,9.672099999999999,5.107599999999999,3.11,2.26,33,31,33,NYY,Washington Nationals,New York Yankees,Washington DC,48350000,28850000,4448.89,4583.29,66.7,67.7,0,0,68,69,162,162,Rafael Soriano,9,1,3,1,7000000,10000000,1,40,230.0,230.0,2,50,0.41975308641975306,0.42592592592592593,RP,RP,0.5308641975308642,0.5864197530864198,1849,1764,43,42,UFA,2601,4761,51,69,7000000,10000000,11000000,10000000,0.06,0.047,11000000,10000000,92.3521,1616.8441,9.61,40.21,28000000,14000000,11666667,67000000,9100000,28000000,35000000,14000000,86,95,0.7055999999999999,6.5536,0.84,2.56,1.5129,1.3688999999999998,1.23,1.17,0,27,289,576,17,24,9,4,3,2,15.761420707019587,16.213405830762646,16.213405830762646
KC,BAL,6.1,6.1,2016,0,2013,3,3,1,1,1,55696,42436,236,206,0,0,5,5,2,1,9801,11881,9025,9216,95,96,99,109,3.5395001436368863,4.0804,1.88135593220339,2.02,0.07767160996668891,0.07572340843782913,0.2786962683042041,0.27517886626307103,0.27491867463360353,0.30898179578971796,0.5243268776570619,0.5558613098514035,16.3216,22.6576,4.04,4.76,33,31,34,KC,Kansas City Royals,Baltimore Orioles,Missouri,28250000,15050000,44816.88999999999,33014.89,211.7,181.7,33,29,33,38,162,162,Jeremy Guthrie,144,144,12,12,5000000,5750000,2,7,205.0,205.0,7,12,0.2037037037037037,0.2345679012345679,SP,SP,0.5308641975308642,0.5740740740740741,0,0,0,0,UFA,12321,10201,111,101,5000000,5750000,5000000,5750000,0.059,0.061,5000000,5750000,943.1041,49.4209,30.71,7.03,25000000,8333333,5750000,26100000,6675000,25000000,5750000,8333333,86,93,2.4025000000000003,2.0131806674460586,1.55,1.418865979381442,1.9320999999999997,1.9880999999999998,1.39,1.41,1,3,3481,2500,59,50,225,64,15,8,15.424948470398375,15.424948470398375,15.424948470398375
