Acronimo_t,Acronimo_t_1,Agente_libre,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIN,MIN,No,6.5,6.5,0,0,2015,1,1,0,0,1.1881000000000002,4.0,1.09,2.0,0,0,4,7,1,1,0.8281000000000001,1.0,0.8281000000000001,0.32489999999999997,0.91,0.57,0.91,1.0,5.331900826446281,2.7263385613845323,2.309090909090909,1.6511627906976745,0.20661157024793392,0.07501318511907176,0.4545454545454546,0.27388535031847133,1.1016324021583226,0.2045113392024017,1.0495867768595042,0.4522292993630573,0.3721,0.22089999999999999,0.61,0.47,26,25,26,Minnesota Twins,Minnesota Twins,Minnesota,204111,73770,1.4641,2.4649,1.21,1.57,0.0,0.0,1.0,1.0,161,162,A.J. Achter,0.0081,0.0,0.09,0.0,130341,73770,6,6,205.0,205.0,14,14,0.006211180124223602,0.006172839506172839,RP,RP,0.515527950310559,0.4320987654320987,0.0,0.0,0.0,0.0,1.6129,0.5041,1.27,0.71,130341,73770,507500,500000,0.001,0.001,507500,500000,0.0,0.0,0.0,0.0,507500,500000,68250000,97290983,507500,500000,83,70,,,,,0.0144,0.0484,0.12,0.22,3,3,0.30250000000000005,0.18489999999999998,0.55,0.43,0.0,0.019600000000000003,0.0,0.14,11.777909372098769,13.137251989898079,13.137251989898079
WSH,TOR,Si,6.4,6.4,2016,2015,2015,1,2,0,2,0.6241000000000001,0.8835999999999999,0.79,0.94,0,0,8,2,1,1,0.2116,0.1936,0.2116,0.16000000000000003,0.46,0.4,0.46,0.44,10.851211072664361,16.0,3.294117647058824,4.0,0.041950936275221375,0.02366863905325444,0.20481927710843376,0.15384615384615385,0.45521846421831913,0.37869822485207105,0.674698795180723,0.6153846153846154,0.010000000000000002,0.0064,0.1,0.08,33,30,33,Washington Nationals,Toronto Blue Jays,Washington DC,16875000,13375000,0.6889,0.8281000000000001,0.83,0.91,0.0,0.0,1.0,1.0,161,162,Casey Janssen,0.010000000000000002,0.0036,0.1,0.06,3500000,4000000,1,2,205.0,205.0,3,5,0.006211180124223602,0.006172839506172839,RP,RP,0.515527950310559,0.5123456790123457,0.0,0.25,0.0,0.5,0.31360000000000005,0.31360000000000005,0.56,0.56,3500000,4000000,3500000,4000000,0.021,0.028,3500000,4000000,0.0,1.0816000000000001,0.0,1.04,5000000,2950000,216000000,8000000,5000000,5900000,83,83,,,,,0.0004,0.0004,0.02,0.02,0,2,0.028900000000000006,0.019600000000000003,0.17,0.14,0.0016,0.0036,0.04,0.06,15.068273526459642,15.068273526459642,15.068273526459642
MIL,PHI,No,6.0,6.0,0,0,2015,1,1,0,0,0.7921,0.7744,0.89,0.88,0,0,5,7,1,2,0.17639999999999997,0.0361,0.17639999999999997,0.0361,0.42,0.19,0.42,0.19,9.877551020408166,1.291322314049587,3.1428571428571432,1.1363636363636365,0.12048357352639848,0.1936,0.34710743801652894,0.44,1.1900826446280994,0.25,1.090909090909091,0.5,0.0256,0.0121,0.16,0.11,30,29,30,Milwaukee Brewers,Philadelphia Phillies,Wisconsin,2079981,1916594,1.4641,1.0,1.21,1.0,0.0,0.0,1.0,1.0,161,162,Cesar Jimenez,0.0,0.0,0.0,0.0,138251,180327,1,7,208.0,208.0,4,14,0.006211180124223602,0.006172839506172839,RP,RP,0.422360248447205,0.4506172839506173,0.0,0.0,0.0,0.0,1.7424000000000002,0.25,1.32,0.5,138251,180327,575000,500000,0.002,0.001,575000,500000,0.0,0.0,0.0,0.0,575000,500000,17500000,59875000,575000,500000,68,73,,,,,0.0036,0.0064,0.06,0.08,0,2,0.17639999999999997,0.1936,0.42,0.44,0.0,0.0,0.0,0.0,11.836826152631478,13.262125319779487,13.262125319779487
TOR,TOR,No,6.4,6.4,0,0,2015,1,1,0,0,2.25,2.6244000000000005,1.5,1.62,0,0,11,2,1,1,1.0,0.2304,1.0,0.18489999999999998,1.0,0.43,1.0,0.48,0.4444444444444444,8.794292508917955,0.6666666666666666,2.9655172413793105,0.6718624025799517,0.03688434717775536,0.819672131147541,0.1920529801324503,0.2986055122577562,0.3243717380816631,0.5464480874316939,0.5695364238410596,6.0516,0.0144,2.46,0.12,27,26,27,Toronto Blue Jays,Toronto Blue Jays,Toronto,1799571,1727468,3.3489000000000004,2.2801,1.83,1.51,0.0,0.0,1.0,1.0,161,162,Chad Jenkins,0.0,0.0025000000000000005,0.0,0.05,72103,215846,2,2,235.0,235.0,6,5,0.006211180124223602,0.006172839506172839,RP,RP,0.577639751552795,0.5123456790123457,0.0,0.0,0.0,0.0,1.0,0.7395999999999999,1.0,0.86,72103,215846,507500,500000,0.001,0.002,507500,500000,0.0,0.0,0.0,0.0,507500,500000,86600000,8000000,507500,500000,93,83,,,,,0.6723999999999999,0.0036,0.82,0.06,2,2,2.25,0.0841,1.5,0.29,0.0,0.0025000000000000005,0.0,0.05,11.185850931283975,13.137251989898079,13.137251989898079
CHW,CHW,No,6.3,6.3,0,0,2015,1,1,0,0,2.3104,1.0816000000000001,1.52,1.04,0,0,13,10,2,2,0.9216,0.2916,0.6084,0.28090000000000004,0.78,0.53,0.96,0.54,1.0,1.8999269539810084,1.0,1.3783783783783785,0.5325054784514244,0.38669585481251323,0.7297297297297297,0.6218487394957983,0.5325054784514244,0.7346938775510206,0.7297297297297297,0.8571428571428572,0.0529,0.004900000000000001,0.23,0.07,25,24,25,Chicago White Sox,Chicago White Sox,Illinois,1382717,1024972,1.2321000000000002,1.4161,1.11,1.19,0.0,0.0,1.0,1.0,161,162,Daniel Webb,0.0,0.0081,0.0,0.09,357745,500000,6,6,215.0,215.0,9,9,0.006211180124223602,0.006172839506172839,RP,RP,0.4720496894409938,0.4506172839506173,0.0,0.0,0.0,0.0,0.6561000000000001,1.0404,0.81,1.02,357745,500000,507500,500000,0.003,0.006,507500,500000,0.0,0.1369,0.0,0.37,507500,500000,137000000,12250000,507500,500000,76,73,,,,,0.0064,0.0009,0.08,0.03,3,3,0.6561000000000001,0.5476,0.81,0.74,0.0016,0.0121,0.04,0.11,12.787575721080637,13.137251989898079,13.137251989898079
PHI,PHI,No,6.3,6.3,0,0,2015,1,1,1,1,52.85289999999999,36.0,7.27,6.0,0,0,8,7,2,2,16.0,7.5625,14.9769,6.002500000000001,3.87,2.45,4.0,2.75,2.3047330129667913,4.922851562499998,1.5181347150259068,2.2187499999999996,0.15019515814261056,0.0740432227312694,0.3875502008032128,0.272108843537415,0.3461597393590426,0.3645037947151649,0.5883534136546185,0.6037414965986394,0.22089999999999999,0.0361,0.47,0.19,25,24,26,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,588592,400956,24.800400000000003,34.5744,4.98,5.88,1.0,1.0,1.0,1.0,161,162,David Buchanan,0.36,0.16000000000000003,0.6,0.4,187636,275956,7,7,200.0,200.0,14,14,0.006211180124223602,0.006172839506172839,SP,SP,0.3850931677018633,0.4506172839506173,0.0,0.0,0.0,0.0,8.584900000000001,12.6025,2.93,3.55,187636,275956,512500,500000,0.001,0.002,512500,500000,0.0,5.7121,0.0,2.39,512500,500000,13800000,59875000,512500,500000,62,73,,,,,0.0144,0.0036,0.12,0.06,2,2,3.7249,2.5600000000000005,1.93,1.6,0.016900000000000002,0.09,0.13,0.3,12.142259194798847,13.1470559899947,13.1470559899947
ATL,ATL,Si,5.698559077809805,6.3,0,0,2015,1,1,0,0,2.25,0.8835999999999999,1.5,0.94,0,0,18,5,1,1,0.5625,0.17639999999999997,0.5625,0.1369,0.75,0.37,0.75,0.42,25.0,16.9744,5.0,4.12,0.0,0.07073336351290176,0.0,0.26595744680851063,1.846053875236295,1.2006564056134001,1.358695652173913,1.095744680851064,3.3856,0.0025000000000000005,1.84,0.05,27,28,27,Atlanta Braves,Atlanta Braves,Georgia,769433,1921500,0.8464,0.8835999999999999,0.92,0.94,0.0,0.0,1.0,1.0,160,162,David Carpenter,0.0,0.0036,0.0,0.06,191352,532500,18,18,213.9152709359606,250.0,23,23,0.00625,0.006172839506172839,RP,RP,0.40625,0.4876543209876543,0.0,0.0025000000000000005,0.0,0.05,1.5625,1.0609,1.25,1.03,191352,532500,191352,532500,0.002,0.005,191352,532500,0.0,0.6241000000000001,0.0,0.79,507500,532500,69107500,47350000,507500,532500,65,79,,,,,0.16809999999999997,0.0004,0.41,0.02,3,3,0.0,0.0625,0.0,0.25,0.0,0.0081,0.0,0.09,12.16186994285044,12.16186994285044,12.16186994285044
WSH,ATL,Si,6.3,6.3,0,0,2015,1,1,0,0,2.25,0.8835999999999999,1.5,0.94,0,0,8,5,1,1,0.5625,0.17639999999999997,0.5625,0.1369,0.75,0.37,0.75,0.42,25.0,16.9744,5.0,4.12,0.0,0.07073336351290176,0.0,0.26595744680851063,1.846053875236295,1.2006564056134001,1.358695652173913,1.095744680851064,3.3856,0.0025000000000000005,1.84,0.05,29,28,29,Washington Nationals,Atlanta Braves,Washington DC,3117947,1921500,0.8464,0.8835999999999999,0.92,0.94,0.0,0.0,1.0,1.0,161,162,David Carpenter,0.0,0.0036,0.0,0.06,792349,532500,1,18,250.0,250.0,3,23,0.006211180124223602,0.006172839506172839,RP,RP,0.515527950310559,0.4876543209876543,0.0,0.0025000000000000005,0.0,0.05,1.5625,1.0609,1.25,1.03,792349,532500,792349,532500,0.005,0.005,792349,532500,0.0,0.6241000000000001,0.0,0.79,1275000,532500,216000000,47350000,1275000,532500,83,79,,,,,0.16809999999999997,0.0004,0.41,0.02,0,3,0.0,0.0625,0.0,0.25,0.0,0.0081,0.0,0.09,13.582757230301628,13.582757230301628,13.582757230301628
ATL,ATL,Si,5.698559077809805,6.3,0,0,2015,1,1,0,0,0.6889,0.8835999999999999,0.83,0.94,0,0,18,5,1,1,0.16000000000000003,0.17639999999999997,0.1369,0.1369,0.37,0.37,0.4,0.42,2.777777777777778,16.9744,1.6666666666666667,4.12,0.1338488994646044,0.07073336351290176,0.36585365853658536,0.26595744680851063,0.37180249851279,1.2006564056134001,0.6097560975609756,1.095744680851064,0.016900000000000002,0.0025000000000000005,0.13,0.05,27,28,27,Atlanta Braves,Atlanta Braves,Georgia,769433,1921500,0.6723999999999999,0.8835999999999999,0.82,0.94,0.0,0.0,1.0,1.0,160,162,David Carpenter,0.0009,0.0036,0.03,0.06,191352,532500,18,18,213.9152709359606,250.0,23,23,0.00625,0.006172839506172839,RP,RP,0.40625,0.4876543209876543,0.0,0.0025000000000000005,0.0,0.05,0.25,1.0609,0.5,1.03,191352,532500,191352,532500,0.002,0.005,191352,532500,0.0,0.6241000000000001,0.0,0.79,507500,532500,69107500,47350000,507500,532500,65,79,,,,,0.0025000000000000005,0.0004,0.05,0.02,3,3,0.09,0.0625,0.3,0.25,0.0,0.0081,0.0,0.09,12.16186994285044,12.16186994285044,12.16186994285044
WSH,ATL,Si,6.3,6.3,0,0,2015,1,1,0,0,0.6889,0.8835999999999999,0.83,0.94,0,0,8,5,1,1,0.16000000000000003,0.17639999999999997,0.1369,0.1369,0.37,0.37,0.4,0.42,2.777777777777778,16.9744,1.6666666666666667,4.12,0.1338488994646044,0.07073336351290176,0.36585365853658536,0.26595744680851063,0.37180249851279,1.2006564056134001,0.6097560975609756,1.095744680851064,0.016900000000000002,0.0025000000000000005,0.13,0.05,29,28,29,Washington Nationals,Atlanta Braves,Washington DC,3117947,1921500,0.6723999999999999,0.8835999999999999,0.82,0.94,0.0,0.0,1.0,1.0,161,162,David Carpenter,0.0009,0.0036,0.03,0.06,792349,532500,1,18,250.0,250.0,3,23,0.006211180124223602,0.006172839506172839,RP,RP,0.515527950310559,0.4876543209876543,0.0,0.0025000000000000005,0.0,0.05,0.25,1.0609,0.5,1.03,792349,532500,792349,532500,0.005,0.005,792349,532500,0.0,0.6241000000000001,0.0,0.79,1275000,532500,216000000,47350000,1275000,532500,83,79,,,,,0.0025000000000000005,0.0004,0.05,0.02,0,3,0.09,0.0625,0.3,0.25,0.0,0.0081,0.0,0.09,13.582757230301628,13.582757230301628,13.582757230301628
