Acronimo_t,Acronimo_t_1,Agente_libre,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,MIL,No,6.3,6.3,0,0,2011,1,1,0,0,100,5329,10,73,0,0,3,1,1,1,64,1600,49,1521,7,39,8,40,1.5625,4.591836734693877,1.25,2.142857142857143,0.19753086419753085,0.14278403368537612,0.4444444444444444,0.37786774628879893,0.308641975308642,0.6556409710042782,0.5555555555555556,0.8097165991902835,49.0,17.472399999999997,7.0,4.18,29,29,29,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,850650,850650,81.0,5490.8099999999995,9.0,74.1,2,12,2,17,162,162,Chris Narveson,1,16,1,4,444150,444150,1,1,205.0,205.0,4,4,0.012345679012345678,0.10493827160493827,RP,RP,0.5123456790123457,0.5925925925925926,0,0,0,0,25,3600,5,60,444150,444150,444150,444150,0.005,0.005,444150,444150,0.0,0.0,0.0,0.0,444150,444150,40250000,775000,444150,444150,83,96,2.0131806674460586,0.0009,1.418865979381442,0.03,2.4336,1.6384,1.56,1.28,0,0,16,784,4,28,1,25,1,5,13.003917622197847,13.003917622197847,13.003917622197847
MIL,MIL,No,6.3,6.3,0,0,2012,1,1,0,0,100,5329,10,73,0,0,3,1,1,1,64,1600,49,1521,7,39,8,40,1.5625,4.591836734693877,1.25,2.142857142857143,0.19753086419753085,0.14278403368537612,0.4444444444444444,0.37786774628879893,0.308641975308642,0.6556409710042782,0.5555555555555556,0.8097165991902835,49.0,17.472399999999997,7.0,4.18,30,29,30,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,1350650,850650,81.0,5490.8099999999995,9.0,74.1,2,12,2,17,162,162,Chris Narveson,1,16,1,4,500000,444150,1,1,205.0,205.0,4,4,0.012345679012345678,0.10493827160493827,RP,RP,0.5123456790123457,0.5925925925925926,0,0,0,0,25,3600,5,60,500000,444150,500000,444150,0.005,0.005,500000,444150,0.0,0.0,0.0,0.0,500000,444150,40250000,775000,500000,444150,83,96,2.0131806674460586,0.0009,1.418865979381442,0.03,2.4336,1.6384,1.56,1.28,0,0,16,784,4,28,1,25,1,5,13.122363377404328,13.122363377404328,13.122363377404328
MIL,MIL,No,6.0,6.0,0,0,2011,3,3,3,3,4225,2500,65,50,666667,666667,3,1,1,1,1369,484,1225,400,35,20,37,22,5.394380853277836,8.100591715976332,2.3225806451612905,2.8461538461538463,0.18537808641975312,0.16401238342019195,0.4305555555555556,0.40498442367601245,1.0,1.3285973544511407,1.0,1.1526479750778815,19.1844,7.839999999999999,4.38,2.8,26,26,29,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,57069166,57069166,5184.0,4121.64,72.0,64.2,0,0,78,65,162,162,Francisco Rodriguez,49,16,7,4,2450819,2450819,1,1,180.0,180.0,4,4,0.48148148148148145,0.4012345679012346,RP,RP,0.5123456790123457,0.5925925925925926,9,1156,3,34,5184,5476,72,74,2450819,2450819,11500000,11500000,0.027,0.027,12166667,12166667,1.1236000000000002,618.5169000000001,1.06,24.87,12333333,12333333,40250000,775000,37000000,37000000,83,96,2.0131806674460586,2.1609,1.418865979381442,1.47,1.7689000000000001,1.2544000000000002,1.33,1.12,0,0,961,676,31,26,4,9,2,3,14.711932812374174,16.25785759333348,16.31421055728187
MIL,MIL,No,6.0,6.0,2013,0,2012,1,3,1,3,4225,2500,65,50,0,666667,3,1,1,1,1369,484,1225,400,35,20,37,22,5.394380853277836,8.100591715976332,2.3225806451612905,2.8461538461538463,0.18537808641975312,0.16401238342019195,0.4305555555555556,0.40498442367601245,1.0,1.3285973544511407,1.0,1.1526479750778815,19.1844,7.839999999999999,4.38,2.8,29,26,30,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,68569166,57069166,5184.0,4121.64,72.0,64.2,0,0,78,65,162,162,Francisco Rodriguez,49,16,7,4,8000000,2450819,1,1,180.0,180.0,4,4,0.48148148148148145,0.4012345679012346,RP,RP,0.5123456790123457,0.5925925925925926,9,1156,3,34,5184,5476,72,74,8000000,2450819,8000000,11500000,0.072,0.027,8000000,12166667,1.1236000000000002,618.5169000000001,1.06,24.87,8000000,12333333,40250000,775000,8000000,37000000,83,96,2.0131806674460586,2.1609,1.418865979381442,1.47,1.7689000000000001,1.2544000000000002,1.33,1.12,0,0,961,676,31,26,4,9,2,3,15.89495209964411,15.89495209964411,15.89495209964411
MIL,MIL,No,6.5,6.5,0,0,2012,1,1,1,1,3721,2500,61,50,0,0,3,1,1,1,1764,676,1296,529,36,23,42,26,5.686390532544379,5.686390532544379,2.3846153846153846,2.3846153846153846,0.316710706321096,0.22185465238395294,0.5627705627705628,0.47101449275362317,1.8009407619797233,1.261552194917034,1.341991341991342,1.1231884057971013,21.808899999999998,88.17210000000001,4.67,9.39,28,27,29,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,1367500,842500,4802.49,3047.0400000000004,69.3,55.2,0,0,75,57,162,162,John Axford,64,16,8,4,525000,442500,1,1,234.0,234.0,4,4,0.46296296296296297,0.35185185185185186,RP,RP,0.5123456790123457,0.5925925925925926,1225,256,35,16,8649,3844,93,62,525000,442500,525000,442500,0.005,0.005,525000,442500,159.01209999999998,1289.5280999999998,12.61,35.91,525000,442500,40250000,775000,525000,442500,83,96,2.0131806674460586,0.22089999999999999,1.418865979381442,0.47,2.0736,5.017600000000001,1.44,2.24,0,0,1521,676,39,26,25,16,5,4,13.17115354157376,13.17115354157376,13.17115354157376
MIL,MIL,No,6.5,6.5,0,0,2011,1,1,1,1,3721,2500,61,50,0,0,3,1,1,1,1764,676,1296,529,36,23,42,26,5.686390532544379,5.686390532544379,2.3846153846153846,2.3846153846153846,0.316710706321096,0.22185465238395294,0.5627705627705628,0.47101449275362317,1.8009407619797233,1.261552194917034,1.341991341991342,1.1231884057971013,21.808899999999998,88.17210000000001,4.67,9.39,27,27,28,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,842500,842500,4802.49,3047.0400000000004,69.3,55.2,0,0,75,57,162,162,John Axford,64,16,8,4,442500,442500,1,1,234.0,234.0,4,4,0.46296296296296297,0.35185185185185186,RP,RP,0.5123456790123457,0.5925925925925926,1225,256,35,16,8649,3844,93,62,442500,442500,442500,442500,0.005,0.005,442500,442500,159.01209999999998,1289.5280999999998,12.61,35.91,442500,442500,40250000,775000,442500,442500,83,96,2.0131806674460586,0.22089999999999999,1.418865979381442,0.47,2.0736,5.017600000000001,1.44,2.24,0,0,1521,676,39,26,25,16,5,4,13.00019574343012,13.00019574343012,13.00019574343012
MIL,MIL,Si,6.5,6.5,2012,2012,2011,2,2,1,1,2025,2809,45,53,250000,250000,3,1,1,1,400,484,289,400,17,20,20,22,3.130177514792899,6.98469387755102,1.7692307692307692,2.642857142857143,0.09580498866213152,0.06951315962136606,0.30952380952380953,0.263653483992467,0.2998866213151928,0.4855281404165824,0.5476190476190477,0.6967984934086628,13.249600000000001,13.838400000000002,3.64,3.72,37,37,38,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,35750000,35750000,1764.0,2819.61,42.0,53.1,0,0,48,55,162,162,LaTroy Hawkins,9,9,3,3,4000000,4000000,1,1,195.0,195.0,4,4,0.2962962962962963,0.3395061728395062,RP/CL,RP/CL,0.5123456790123457,0.5925925925925926,1,49,1,7,529,1369,23,37,4250000,4250000,4000000,4000000,0.046,0.046,4250000,4250000,0.0,664.0929,0.0,25.77,3750000,3750000,40250000,775000,7500000,7500000,83,96,0.0036,0.6241000000000001,0.06,0.79,1.9043999999999996,1.3688999999999998,1.38,1.17,0,0,169,196,13,14,4,4,2,2,15.2624295409006,15.201804919084164,15.2624295409006
LAA,MIL,Si,6.5,6.5,2013,2012,2012,1,2,0,1,2025,2809,45,53,0,250000,4,1,5,1,400,484,289,400,17,20,20,22,3.130177514792899,6.98469387755102,1.7692307692307692,2.642857142857143,0.09580498866213152,0.06951315962136606,0.30952380952380953,0.263653483992467,0.2998866213151928,0.4855281404165824,0.5476190476190477,0.6967984934086628,13.249600000000001,13.838400000000002,3.64,3.72,39,37,39,Los Angeles Angels,Milwaukee Brewers,California,38750000,35750000,1764.0,2819.61,42.0,53.1,0,0,48,55,162,162,LaTroy Hawkins,9,9,3,3,3000000,4000000,1,1,195.0,195.0,10,4,0.2962962962962963,0.3395061728395062,RP/CL,RP/CL,0.5493827160493827,0.5925925925925926,1,49,1,7,529,1369,23,37,3000000,4250000,3000000,4000000,0.019,0.046,3000000,4250000,0.0,664.0929,0.0,25.77,3000000,3750000,321150000,775000,3000000,7500000,89,96,0.0036,0.6241000000000001,0.06,0.79,1.9043999999999996,1.3688999999999998,1.38,1.17,1,0,169,196,13,14,4,4,2,2,14.914122846632385,14.914122846632385,14.914122846632385
MIL,MIL,No,6.3,6.3,0,0,2011,1,1,0,0,3844,7569,62,87,0,0,3,1,1,1,1521,2304,1089,1849,33,43,39,48,3.0375510204081633,3.79224376731302,1.7428571428571429,1.9473684210526316,0.35551660189976464,0.23373411287868492,0.596252129471891,0.4834605597964377,1.0798998168726726,0.8863767327726306,1.039182282793867,0.9414758269720103,25.603599999999997,20.702499999999997,5.06,4.55,28,28,28,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,4386000,4386000,3445.6900000000005,6177.959999999999,58.7,78.6,0,9,62,40,162,162,Manny Parra,9,25,3,5,1200000,1200000,1,1,215.0,215.0,4,4,0.38271604938271603,0.24691358024691357,RP,RP,0.5123456790123457,0.5925925925925926,0,0,0,0,3721,5476,61,74,1200000,1200000,1200000,1200000,0.013,0.013,1200000,1200000,81.5409,27.772899999999996,9.03,5.27,1200000,1200000,40250000,775000,1200000,1200000,83,96,2.0131806674460586,0.564421068709147,1.418865979381442,0.7512796208530795,2.7224999999999997,2.2201,1.65,1.49,0,0,1225,1444,35,38,4,16,2,4,13.997832114758229,13.997832114758229,13.997832114758229
MIL,MIL,No,6.3,6.3,2013,0,2012,1,1,0,0,3844,7569,62,87,0,0,3,1,1,1,1521,2304,1089,1849,33,43,39,48,3.0375510204081633,3.79224376731302,1.7428571428571429,1.9473684210526316,0.35551660189976464,0.23373411287868492,0.596252129471891,0.4834605597964377,1.0798998168726726,0.8863767327726306,1.039182282793867,0.9414758269720103,25.603599999999997,20.702499999999997,5.06,4.55,29,28,29,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,5586000,4386000,3445.6900000000005,6177.959999999999,58.7,78.6,0,9,62,40,162,162,Manny Parra,9,25,3,5,1200000,1200000,1,1,215.0,215.0,4,4,0.38271604938271603,0.24691358024691357,RP,RP,0.5123456790123457,0.5925925925925926,0,0,0,0,3721,5476,61,74,1200000,1200000,1200000,1200000,0.011,0.013,1200000,1200000,81.5409,27.772899999999996,9.03,5.27,1200000,1200000,40250000,775000,1200000,1200000,83,96,2.0131806674460586,0.564421068709147,1.418865979381442,0.7512796208530795,2.7224999999999997,2.2201,1.65,1.49,0,0,1225,1444,35,38,4,16,2,4,13.997832114758229,13.997832114758229,13.997832114758229
