Acronimo_t,Altura_t,Anio_de_agente_libre_t,Anio_t,Anios_de_contrato_t,Antiguedad_t,Bateos_2_t,Bateos_t,Bono_por_firma_t,Cantidad de equipos_t,Cantidad_agentes_libres_t,Carreras_2_t,Carreras_ganadas_2_t,Carreras_ganadas_t,Carreras_t,Comando_2_t,Comando_t,Control_2_t,Control_t,Dominio_2_t,Dominio_t,ERA_2_t,ERA_t,Edad_al_firmar_t,Edad_t,Equipo_t,Estado_t,Ganancias_t,Inning_pitched_2_t,Inning_pitched_t,Juegos totales_t,Juegos_iniciados_t,Juegos_t,Jugador,Losses_2_t,Losses_t,Pago_efectivo_t,Pennants won_t,Peso_t,Playoffs_t,Porcentaje_juegos_t,Posicion_t,Promedio_victorias_t,Saves_2_t,Saves_t,Strike-outs_2_t,Strike-outs_t,Sueldo_ajustado_t,Sueldo_base_t,Sueldo_porcentual_t,Sueldo_regular_t,TVS_2_t,TVS_t,Valor_contrato_promedio_t,Valor_contrato_total_t,Valor_del_contrato_t,Victorias_t,WAR_2_t,WAR_t,WHIP_2_t,WHIP_t,WS ganadas_t,Walks_2_t,Walks_t,Wins_2_t,Wins_t,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,6.2,2013,2011,4,2,25281,159,0,1,1,4761,4225,65,69,14.792899408284024,3.8461538461538463,0.0528160027279587,0.22981732469063054,0.7813018155023476,0.8839127872716559,12.6736,3.56,25,27,Milwaukee Brewers,Wisconsin,29897172,28798.089999999997,169.7,162,27,30,Zack Greinke,49,7,13500000,1,200.0,4,0.18518518518518517,SP,0.5925925925925926,0,0,22500,150,13500000,13500000,0.146,13500000,2034.9121,45.11,9500000,775000,38000000,96,12.8164,3.58,1.2100000000000002,1.1,0,1521,39,144,12,16.41820024340866,16.41820024340866,16.41820024340866
MIL,6.0,0,2011,1,0,22201,149,0,1,1,5184,4624,68,72,7.91015625,2.8125,0.08321005917159761,0.28846153846153844,0.6582045696190828,0.8112980769230769,13.4689,3.67,29,29,Milwaukee Brewers,Wisconsin,6442800,27688.960000000003,166.4,162,27,30,Shaun Marcum,36,6,3950000,1,215.48312611012435,4,0.18518518518518517,SP,0.5925925925925926,0,0,18225,135,3950000,3950000,0.043,3950000,2944.1476,54.26,3950000,775000,3950000,96,6.812099999999999,2.61,1.4161,1.19,0,2304,48,121,11,15.189226136877304,15.189226136877304,15.189226136877304
MIL,6.2,0,2011,5,2,21904,148,250000,1,1,5329,4624,68,73,5.005458201666187,2.23728813559322,0.1516626910215774,0.38943894389438943,0.7591412606607195,0.8712871287128713,16.6464,4.08,23,25,Milwaukee Brewers,Wisconsin,6923000,22952.25,151.5,162,26,27,Yovani Gallardo,64,8,3250000,1,205.0,4,0.16666666666666666,RP,0.5925925925925926,0,0,17424,132,3500000,3250000,0.038,3500000,1793.5225,42.35,6020000,775000,30100000,96,2.4336,1.56,1.9043999999999996,1.38,0,3481,59,100,10,15.068273526459642,14.994165554305921,15.068273526459642
MIL,6.241570881226049,2013,2011,3,1,19881,141,0,1,1,4900,4225,65,70,4.526935264825712,2.127659574468085,0.11838435632994564,0.34407027818448027,0.535918317473724,0.7320644216691069,21.3444,4.62,33,34,Milwaukee Brewers,Wisconsin,62962104,18659.559999999998,136.6,162,23,25,Randy Wolf,49,7,9500000,1,215.48312611012435,4,0.15432098765432098,SP,0.5925925925925926,0,0,10000,100,9500000,9500000,0.103,9500000,318.2656,17.84,9916667,775000,29750000,96,1.2100000000000002,1.1,1.6129,1.27,0,2209,47,64,8,16.06680235657077,16.06680235657077,16.06680235657077
MIL,6.0,0,2011,1,0,10000,100,0,1,1,3025,2809,53,55,7.839999999999999,2.8,0.09835754936344601,0.31362007168458783,0.7711231870094167,0.878136200716846,26.522500000000004,5.15,27,27,Milwaukee Brewers,Wisconsin,740808,12454.56,111.6,162,17,25,Marco Estrada,36,6,414000,1,180.0,4,0.15432098765432098,SP,0.5925925925925926,0,0,9604,98,414000,414000,0.005,414000,807.6964000000002,28.42,414000,775000,414000,96,1.2100000000000002,1.1,1.7424000000000002,1.32,0,1225,35,36,6,12.933621252807452,12.933621252807452,12.933621252807452
MIL,6.2,0,2011,1,1,10404,102,0,1,1,2500,2209,47,50,8.428720083246619,2.903225806451613,0.08783346555575462,0.2963671128107075,0.7403236951109389,0.8604206500956023,17.7241,4.21,25,26,Milwaukee Brewers,Wisconsin,416500,10941.159999999998,104.6,162,18,20,Michael Fiers,36,6,414000,1,211.0,4,0.12345679012345678,SP,0.5925925925925926,0,0,8100,90,414000,414000,0.005,414000,1122.9200999999998,33.51,414000,775000,414000,96,1.0816000000000001,1.04,2.1025,1.45,0,961,31,49,7,12.933621252807452,12.933621252807452,12.933621252807452
MIL,6.3,0,2011,1,0,7569,87,0,1,1,2304,1849,43,48,3.79224376731302,1.9473684210526316,0.23373411287868492,0.4834605597964377,0.8863767327726306,0.9414758269720103,20.702499999999997,4.55,28,28,Milwaukee Brewers,Wisconsin,4386000,6177.959999999999,78.6,162,9,40,Manny Parra,25,5,1200000,1,215.0,4,0.24691358024691357,RP,0.5925925925925926,0,0,5476,74,1200000,1200000,0.013,1200000,27.772899999999996,5.27,1200000,775000,1200000,96,0.564421068709147,0.7512796208530795,2.2201,1.49,0,1444,38,16,4,13.997832114758229,13.997832114758229,13.997832114758229
MIL,6.3,0,2011,1,0,5329,73,0,1,1,1600,1521,39,40,4.591836734693877,2.142857142857143,0.14278403368537612,0.37786774628879893,0.6556409710042782,0.8097165991902835,17.472399999999997,4.18,29,29,Milwaukee Brewers,Wisconsin,850650,5490.8099999999995,74.1,162,12,17,Chris Narveson,16,4,444150,1,205.0,4,0.10493827160493827,RP,0.5925925925925926,0,0,3600,60,444150,444150,0.005,444150,0.0,0.0,444150,775000,444150,96,0.0009,0.03,1.6384,1.28,0,784,28,25,5,13.003917622197847,13.003917622197847,13.003917622197847
MIL,6.0,0,2011,3,3,2500,50,666667,1,1,484,400,20,22,8.100591715976332,2.8461538461538463,0.16401238342019195,0.40498442367601245,1.3285973544511407,1.1526479750778815,7.839999999999999,2.8,26,29,Milwaukee Brewers,Wisconsin,57069166,4121.64,64.2,162,0,65,Francisco Rodriguez,16,4,2450819,1,180.0,4,0.4012345679012346,RP,0.5925925925925926,1156,34,5476,74,2450819,11500000,0.027,12166667,618.5169000000001,24.87,12333333,775000,37000000,96,2.1609,1.47,1.2544000000000002,1.12,0,676,26,9,3,14.711932812374174,16.25785759333348,16.31421055728187
MIL,6.5,0,2011,1,1,2500,50,0,1,1,676,529,23,26,5.686390532544379,2.3846153846153846,0.22185465238395294,0.47101449275362317,1.261552194917034,1.1231884057971013,88.17210000000001,9.39,27,28,Milwaukee Brewers,Wisconsin,842500,3047.0400000000004,55.2,162,0,57,John Axford,16,4,442500,1,234.0,4,0.35185185185185186,RP,0.5925925925925926,256,16,3844,62,442500,442500,0.005,442500,1289.5280999999998,35.91,442500,775000,442500,96,0.22089999999999999,0.47,5.017600000000001,2.24,0,676,26,16,4,13.00019574343012,13.00019574343012,13.00019574343012
MIL,6.5,2012,2011,2,1,2809,53,250000,1,1,484,400,20,22,6.98469387755102,2.642857142857143,0.06951315962136606,0.263653483992467,0.4855281404165824,0.6967984934086628,13.838400000000002,3.72,37,38,Milwaukee Brewers,Wisconsin,35750000,2819.61,53.1,162,0,55,LaTroy Hawkins,9,3,4000000,1,195.0,4,0.3395061728395062,RP/CL,0.5925925925925926,49,7,1369,37,4250000,4000000,0.046,4250000,664.0929,25.77,3750000,775000,7500000,96,0.6241000000000001,0.79,1.3688999999999998,1.17,0,196,14,4,2,15.2624295409006,15.201804919084164,15.2624295409006
MIL,6.0,0,2011,1,0,1,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,24,Milwaukee Brewers,Wisconsin,113336,1.0,1.0,162,30,52,Martin Maldonado,0,0,63336,1,230.0,4,0.32098765432098764,C,0.5925925925925926,0,0,0,0,63336,414000,0.001,414000,0.0,0.0,414000,775000,414000,96,0.5625,0.75,1.0,1.0,0,0,0,0,0,11.05620916685127,12.933621252807452,12.933621252807452
MIL,6.3,0,2011,1,0,0,0,0,1,1,9,9,3,3,0.0,0.0,177.7777777777778,13.333333333333334,0.0,0.0,6561.0,81.0,25,25,Milwaukee Brewers,Wisconsin,3862500,0.09,0.3,162,97,118,Carlos Gomez,0,0,1500000,1,220.0,4,0.7283950617283951,CF,0.5925925925925926,0,0,0,0,1500000,1500000,0.016,1500000,406.0224999999999,20.15,1500000,775000,1500000,96,0.5328999999999999,0.73,144.0,12.0,0,16,4,0,0,14.22097566607244,14.22097566607244,14.22097566607244
