Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_t,Anio_t_1,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,Sueldo_t,Sueldo_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_base_t,ln_Sueldo_regular_t,ln_Sueldo_t
ATL,ATL,6.0,6.0,11,10,3481,225,59,15,6,7,900,9,576,4,24,2,30,3,7.801426872770511,7.111111111111111,2.793103448275862,2.6666666666666665,0.0018960401843284723,0.002123638216993353,0.04354354354354354,0.04608294930875576,0.014791818845872901,0.015101427320841625,0.12162162162162163,0.12288786482334871,21.252100000000002,0.6889,4.61,0.83,27,26,Atlanta Braves,Atlanta Braves,5476.0,470.89,74.0,21.7,6889,484,0,0,0,0,83,22,161,60,A.J. Minter,49,1,7,1,18,18,215,215,27,26,RP,RP,0.546583850931677,0.5833333333333334,0,0,0,0,6561,576,81,24,1300000,575000,1300000,212963,1300000,575000,9087.8089,3891.2644000000005,95.33,62.38,94240000,95750000,88,35,2.3104,1.4641,1.52,1.21,5.4289000000000005,1.2321000000000002,2.33,1.11,4,3,841,81,29,9,16,1,4,1,14.077874822431765,14.077874822431765,14.077874822431765
CHW,CHW,6.3,6.3,11,10,2209,25,47,5,2,5,841,1,529,1,23,1,29,1,6.852076124567474,7.839999999999999,2.6176470588235294,2.8,0.003306298621859799,0.003568527868061533,0.05750042279722645,0.05973715651135006,0.02265500984753587,0.027977258485602414,0.15051581261626923,0.16726403823178015,20.070400000000003,0.9216,4.48,0.96,27,26,Chicago White Sox,Chicago White Sox,4316.490000000001,86.49000000000001,65.7,9.3,5041,81,0,0,0,0,71,9,162,60,Aaron Bummer,25,0,5,0,6,6,215,215,11,10,RP,RP,0.5740740740740741,0.5833333333333334,4,0,2,0,7921,196,89,14,2000000,1000000,2000000,370370,2000000,1000000,2179.9561,0.0,46.69,0.0,57000000,151500000,93,35,0.7055999999999999,0.11560000000000002,0.84,0.34,5.4289000000000005,1.1449,2.33,1.07,3,3,1156,25,34,5,36,1,6,1,14.508657738524219,14.508657738524219,14.508657738524219
PHI,PHI,6.2,6.2,11,10,47961,2916,219,54,6,4,15876,961,14161,676,119,26,126,31,26.472684703433927,17.421550094517958,5.145161290322581,4.173913043478261,0.0007473039513015996,0.0012846700325021521,0.027336860670194002,0.03584229390681004,0.01978314188043759,0.022380943326162257,0.140652557319224,0.14960261804581582,62.5681,10.758399999999998,7.91,3.28,28,27,Philadelphia Phillies,Philadelphia Phillies,63504.0,5083.69,252.0,71.3,2025,144,1849,121,43,11,45,12,162,60,Aaron Nola,196,25,14,5,7,7,195,195,14,14,SP,SP,0.5061728395061729,0.4666666666666667,0,0,0,0,101761,9216,319,96,11750000,8000000,12250000,3462963,12250000,8500000,15956.7424,4923.8289,126.32,70.17,158800000,134350000,82,28,21.159999999999997,5.017600000000001,4.6,2.24,4.8841,1.1664,2.21,1.08,2,2,3844,529,62,23,196,25,14,5,16.279363798554442,16.32103649495501,16.32103649495501
CHC,PHI,6.1,6.1,11,10,1296,196,36,14,10,4,529,64,400,64,20,8,23,8,5.975308641975309,7.111111111111111,2.4444444444444446,2.6666666666666665,0.002726857501244129,0.0026298487836949372,0.05221932114882507,0.05128205128205128,0.01629381519261924,0.018701146906275116,0.12764722947490573,0.13675213675213677,96.04000000000002,30.6916,9.8,5.54,30,30,Chicago Cubs,Philadelphia Phillies,1466.8899999999999,169.0,38.3,13.0,2601,289,0,0,0,0,51,17,162,60,Adam Morgan,4,1,2,1,17,7,200,200,21,14,RP,RP,0.4382716049382716,0.4666666666666667,4,0,2,0,1936,256,44,16,900000,1575000,464544,583333,900000,1575000,0.0,0.0,0.0,0.0,24500000,134350000,71,28,0.0361,0.0025000000000000005,-0.19,0.05,8.2944,2.3716,2.88,1.54,3,2,324,36,18,6,4,0,2,0,13.710150042306449,13.048811558261155,13.710150042306449
CHC,CHC,6.1,6.1,11,10,15376,144,124,12,10,4,5476,64,5041,49,71,7,74,8,11.1584427342689,4.976331360946745,3.3404255319148937,2.230769230769231,0.0012620484491772687,0.004598778357659237,0.03552532123960695,0.06781429316640583,0.014082495348017431,0.02288504496326283,0.11866969009826153,0.15127803860198225,56.700900000000004,8.7025,7.53,2.95,26,25,Chicago Cubs,Chicago Cubs,21609.0,453.69000000000005,147.0,21.3,1296,36,625,16,25,4,36,6,162,58,Adbert Alzolay,196,1,14,1,17,17,208,208,21,21,SP,SP,0.4382716049382716,0.5517241379310345,1,0,1,0,24649,841,157,29,573000,563500,542256,37380,573000,563500,11187.292899999999,3953.8944,105.77,62.88,24500000,2650000,71,32,2.2201,0.2304,1.49,0.48,5.4289000000000005,1.3688999999999998,2.33,1.17,3,3,2209,169,47,13,36,1,6,1,13.258640995696876,13.20349349363482,13.258640995696876
MIL,MIL,6.3,6.3,11,10,32761,3969,181,63,4,9,10404,1681,7056,1089,84,33,102,41,3.07280276816609,4.390022675736962,1.7529411764705882,2.0952380952380953,0.0022683360979876485,0.001736111111111111,0.047627052165630075,0.041666666666666664,0.006970149441027514,0.007621567145376668,0.08348742085504567,0.0873015873015873,72.76089999999999,28.09,8.53,5.3,28,27,Milwaukee Brewers,Milwaukee Brewers,39322.89000000001,3136.0,198.3,56.0,1600,144,1369,121,37,11,40,12,162,60,Adrian Houser,144,36,12,6,1,1,222,222,8,7,SP,SP,0.5864197530864198,0.4833333333333333,0,0,0,0,22201,1936,149,44,584100,581600,584100,215407,584100,581600,7257.3360999999995,13.3225,85.19,3.65,45400000,49875000,95,29,2.1904,0.2916,1.48,-0.54,7.728399999999999,2.25,2.78,1.5,0,0,7225,441,85,21,121,1,11,1,13.277827480028401,13.277827480028401,13.277827480028401
CHC,CHC,6.4,6.4,11,10,36100,2809,190,53,10,4,11236,961,9604,961,98,31,106,31,6.297258810964757,5.861495844875346,2.509433962264151,2.4210526315789473,0.0010550453121303857,0.0011482754763124609,0.032481461052889626,0.033886213661494566,0.006643893387780131,0.006730611933177748,0.0815100815100815,0.08204030675940789,91.20250000000001,20.070400000000003,9.55,4.48,29,28,Chicago Cubs,Chicago Cubs,32869.69,3881.2899999999995,181.3,62.3,2025,144,961,121,31,11,45,12,162,58,Alec Mills,121,16,11,4,17,17,205,205,21,21,SP,SP,0.4382716049382716,0.5517241379310345,1,0,1,0,17689,2116,133,46,600000,569500,600000,210926,600000,569500,8116.208100000001,4860.8784,90.09,69.72,24500000,2650000,71,32,0.0961,0.04000000000000001,-0.31,0.2,6.708099999999999,1.3224999999999998,2.59,1.15,3,3,2809,361,53,19,121,25,11,5,13.304684934198283,13.304684934198283,13.304684934198283
STL,STL,6.4,6.4,11,10,3600,196,60,14,2,2,1764,100,1089,49,33,7,42,10,3.416896235078053,3.719387755102041,1.8484848484848484,1.9285714285714286,0.006353707204368829,0.00623503075683412,0.07971014492753623,0.07896221094190638,0.021709958225396155,0.023190497049653435,0.1473429951690821,0.15228426395939088,41.473600000000005,10.240000000000002,6.44,3.2,26,25,St. Louis Cardinals,St. Louis Cardinals,8464.0,388.09,92.0,19.7,7225,225,1,1,1,1,85,15,161,58,Alexander Reyes,81,1,9,1,23,23,220,220,31,30,RP,RP,0.5527950310559007,0.5172413793103449,900,1,30,1,14884,729,122,27,900000,575000,900000,171666,900000,575000,6525.4084,0.0,80.78,0.0,17000000,7000000,89,30,0.2116,0.019600000000000003,0.46,-0.14,7.728399999999999,2.0164,2.78,1.42,11,11,4356,196,66,14,144,4,12,2,13.710150042306449,13.710150042306449,13.710150042306449
CIN,CIN,6.5,6.5,11,10,3136,100,56,10,1,4,1521,25,1369,25,37,5,39,5,5.840277777777777,13.795918367346939,2.4166666666666665,3.7142857142857144,0.0036730945821854917,0.0018063790247691426,0.06060606060606061,0.042501517911353974,0.021451892664013875,0.024920657566202865,0.14646464646464646,0.15786278081360047,72.25,6.0516,8.5,2.46,29,28,Cincinnati Reds,Cincinnati Reds,4356.0,334.89000000000004,66.0,18.3,7056,441,0,0,0,0,84,21,163,59,Amir Garrett,16,0,4,0,10,10,239,239,16,16,RP,RP,0.50920245398773,0.5254237288135594,64,1,8,1,7569,676,87,26,1500000,595000,1500000,220370,1500000,595000,4694.9904,4266.702399999999,68.52,65.32,1500000,144825000,83,31,0.0576,0.24009999999999998,0.24,0.49,6.25,0.8649000000000001,2.5,0.93,5,5,1296,49,36,7,1,1,1,1,14.22097566607244,14.22097566607244,14.22097566607244
STL,STL,6.7,6.7,11,10,2500,81,50,9,2,2,529,16,529,16,23,4,23,4,7.111111111111111,10.240000000000002,2.6666666666666665,3.2,0.0022675736961451243,0.001826283877565929,0.047619047619047616,0.042735042735042736,0.016124968505920885,0.018701146906275116,0.12698412698412698,0.13675213675213677,56.550399999999996,7.6729,7.52,2.77,36,35,St. Louis Cardinals,St. Louis Cardinals,2401.0,169.0,49.0,13.0,3136,256,0,0,0,0,56,16,161,58,Andrew Miller,1,1,1,1,23,23,200,200,31,30,RP,RP,0.5527950310559007,0.5172413793103449,16,16,4,4,3136,256,56,16,12000000,11500000,12000000,4296259,12000000,11537000,0.0,0.0,0.0,0.0,17000000,7000000,89,30,0.0001,0.0225,-0.01,0.15,7.0756000000000006,1.1664,2.66,1.08,11,11,441,25,21,5,1,1,1,1,16.300417207752275,16.300417207752275,16.300417207752275
