Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Eric Hosmer,2018,UFA,KC,8,144000000,18000000,1B,157,0.969,613,155,18,69,0.253,0.72,SD,20000000,21000000,21000000,24649,0.9389609999999999,375769,24025,324,4761,0.064009,0.5184
Yu Darvish,2018,UFA,LAD,6,126000000,21000000,SP,8,0.049,12,1,0,0,0.083,0.25,CHC,25000000,25000000,25000000,64,0.0024010000000000004,144,1,0,0,0.006889000000000001,0.0625
J.D. Martinez,2018,UFA,ARI,5,110000000,22000000,DH,150,0.926,569,188,43,130,0.33,1.031,BOS,23750000,23750000,23750000,22500,0.8574760000000001,323761,35344,1849,16900,0.10890000000000001,1.0629609999999998
Lorenzo Cain,2018,UFA,KC,5,80000000,16000000,CF,142,0.871,539,166,10,38,0.308,0.813,MIL,14000000,14300000,14300000,20164,0.758641,290521,27556,100,1444,0.094864,0.6609689999999999
Jake Arrieta,2018,UFA,CHC,3,75000000,25000000,SP,31,0.191,45,6,1,3,0.133,0.388,PHI,30000000,30000000,30000000,961,0.036481,2025,36,1,9,0.017689000000000003,0.150544
Carlos Santana,2018,UFA,CLE,3,60000000,20000000,1B,161,0.994,560,128,24,86,0.229,0.766,PHI,15000000,18333333,9814814,25921,0.988036,313600,16384,576,7396,0.052441,0.586756
Alex Cobb,2018,UFA,TB,4,57000000,14250000,SP,28,0.173,6,1,0,0,0.167,0.333,BAL,14000000,14000000,7500000,784,0.029928999999999997,36,1,0,0,0.027889000000000004,0.11088900000000002
Jay Bruce,2018,UFA,CLE,3,39000000,13000000,RF,95,0.586,319,71,9,37,0.223,0.68,NYM,10000000,11000000,11000000,9025,0.343396,101761,5041,81,1369,0.049729,0.4624000000000001
Zack Cozart,2018,UFA,CIN,3,38000000,12666667,SS,59,0.364,224,49,5,18,0.219,0.658,LAA,12666666,12666666,12666666,3481,0.132496,50176,2401,25,324,0.047961,0.432964
Tyler Chatwood,2018,UFA,COL,3,38000000,12666667,SP,25,0.153,25,4,0,2,0.16,0.352,CHC,12500000,12500000,12500000,625,0.023409,625,16,0,4,0.0256,0.12390399999999999
Mike Minor,2018,UFA,KC,3,28000000,9333333,SP,28,0.173,3,1,0,0,0.333,1.0,TEX,8000000,8333333,8333333,784,0.029928999999999997,9,1,0,0,0.11088900000000002,1.0
Brandon Morrow,2018,UFA,LAD,2,21000000,10500000,RP,35,0.215,1,0,0,0,0.0,0.0,CHC,9000000,9000000,9000000,1225,0.046224999999999995,1,0,0,0,0.0,0.0
Tommy Hunter,2018,UFA,TB,2,18000000,9000000,RP,65,0.401,1,0,0,0,0.0,0.0,PHI,9000000,9000000,9000000,4225,0.16080100000000003,1,0,0,0,0.0,0.0
Todd Frazier,2018,UFA,NYY,2,17000000,8500000,3B,115,0.71,408,87,18,59,0.213,0.695,NYM,8000000,8000000,8000000,13225,0.5041,166464,7569,324,3481,0.045369,0.4830249999999999
Andrew Cashner,2018,UFA,TEX,2,16000000,8000000,SP,30,0.185,3,0,0,0,0.0,0.0,BAL,5000000,9500000,9500000,900,0.034225,9,0,0,0,0.0,0.0
Jason Vargas,2018,UFA,KC,2,16000000,8000000,SP,21,0.13,27,4,0,0,0.148,0.327,NYM,6000000,6000000,6000000,441,0.016900000000000002,729,16,0,0,0.021903999999999996,0.10692900000000001
Jhoulys Chacin,2018,UFA,SD,2,15500000,7750000,SP,36,0.221,56,9,0,1,0.161,0.382,MIL,8000000,8750000,8750000,1296,0.048841,3136,81,0,1,0.025921000000000003,0.145924
Welington Castillo,2018,UFA,BAL,2,15000000,7500000,C,50,0.309,170,44,6,15,0.259,0.71,CHW,7250000,7250000,7250000,2500,0.095481,28900,1936,36,225,0.067081,0.5041
Steve Cishek,2018,UFA,SEA,2,13000000,6500000,RP,81,0.497,6,1,0,0,0.167,0.333,CHC,6500000,7500000,7500000,6561,0.247009,36,1,0,0,0.027889000000000004,0.11088900000000002
Mitch Moreland,2018,UFA,BOS,2,13000000,6500000,1B,125,0.772,404,99,15,68,0.245,0.758,BOS,6500000,6500000,6500000,15625,0.5959840000000001,163216,9801,225,4624,0.060024999999999995,0.574564
Lance Lynn,2018,UFA,STL,1,12000000,12000000,SP,31,0.191,4,0,0,0,0.0,0.0,NYY,12000000,12000000,1999996,961,0.036481,16,0,0,0,0.0,0.0
Jaime Garcia,2018,UFA,NYY,1,10000000,10000000,RP,33,0.203,4,0,0,0,0.0,0.0,CHC,545000,545000,79110,1089,0.041209,16,0,0,0,0.0,0.0
Brandon Kintzler,2018,UFA,WSH,2,10000000,5000000,RP,70,0.429,1,0,0,0,0.0,0.0,CHC,5000000,5000000,1666684,4900,0.18404099999999998,1,0,0,0,0.0,0.0
Chris Iannetta,2018,UFA,ARI,2,8500000,4250000,C,110,0.675,299,67,11,36,0.224,0.73,COL,3450000,3600000,3600000,12100,0.45562500000000006,89401,4489,121,1296,0.050176000000000005,0.5328999999999999
Alex Avila,2018,UFA,CHC,2,8250000,4125000,C,81,0.5,194,32,7,20,0.165,0.603,ARI,4000000,4000000,4000000,6561,0.25,37636,1024,49,400,0.027225000000000003,0.36360899999999996
Carlos Gonzalez,2018,UFA,COL,1,8000000,8000000,RF,133,0.816,463,128,16,64,0.277,0.796,COL,5000000,8000000,8000000,17689,0.6658559999999999,214369,16384,256,4096,0.07672900000000002,0.6336160000000001
Eduardo Nunez,2018,UFA,BOS,2,8000000,4000000,2B,127,0.784,480,127,10,44,0.265,0.677,BOS,4000000,4000000,4000000,16129,0.6146560000000001,230400,16129,100,1936,0.07022500000000001,0.45832900000000004
Jarrod Dyson,2018,UFA,SEA,2,7500000,3750000,RF,67,0.414,206,39,2,12,0.189,0.539,ARI,3500000,3750000,3750000,4489,0.171396,42436,1521,4,144,0.035721,0.29052100000000003
Howie Kendrick,2018,UFA,WSH,2,7000000,3500000,LF,40,0.247,152,46,4,12,0.303,0.805,WSH,3000000,3000000,3000000,1600,0.061009,23104,2116,16,144,0.091809,0.6480250000000001
Brian Duensing,2018,UFA,CHC,2,7000000,3500000,RP,49,0.301,1,0,0,0,0.0,0.5,CHC,3500000,3500000,3500000,2401,0.09060099999999999,1,0,0,0,0.0,0.25
Logan Morrison,2018,UFA,TB,1,6500000,6500000,DH,95,0.586,318,59,15,39,0.186,0.644,MIN,5500000,5500000,5500000,9025,0.343396,101124,3481,225,1521,0.034596,0.41473600000000005
Jonathan Lucroy,2018,UFA,COL,1,6500000,6500000,C,126,0.778,415,100,4,51,0.241,0.617,OAK,6500000,6500000,6500000,15876,0.605284,172225,10000,16,2601,0.058080999999999994,0.380689
Mike Moustakas,2018,UFA,KC,1,6500000,6500000,3B,153,0.939,573,144,28,95,0.251,0.774,MIL,5500000,7700000,1922050,23409,0.8817209999999999,328329,20736,784,9025,0.063001,0.599076
David Hernandez,2018,UFA,ARI,2,5000000,2500000,RP,57,0.352,1,0,0,0,0.0,0.0,CIN,2500000,2800000,2800000,3249,0.12390399999999999,1,0,0,0,0.0,0.0
Curtis Granderson,2018,UFA,LAD,1,5000000,5000000,RF,123,0.755,343,83,13,38,0.242,0.782,MIL,5000000,5000000,833342,15129,0.570025,117649,6889,169,1444,0.058564,0.6115240000000001
Matt Adams,2018,UFA,ATL,1,4000000,4000000,1B,121,0.747,306,73,21,57,0.239,0.786,STL,4000000,4000000,881705,14641,0.558009,93636,5329,441,3249,0.057121,0.617796
Francisco Liriano,2018,UFA,HOU,1,4000000,4000000,SP,27,0.167,1,0,0,0,0.0,0.0,DET,4000000,4000000,4000000,729,0.027889000000000004,1,0,0,0,0.0,0.0
Neil Walker,2018,UFA,MIL,1,4000000,4000000,2B,113,0.698,347,76,11,46,0.219,0.664,NYY,4000000,4000000,4000000,12769,0.4872039999999999,120409,5776,121,2116,0.047961,0.44089600000000007
Carlos Gomez,2018,UFA,TEX,1,4000000,4000000,RF,118,0.728,360,75,9,32,0.208,0.634,TB,4000000,4400000,4400000,13924,0.529984,129600,5625,81,1024,0.043264,0.40195600000000004
Lucas Duda,2018,UFA,TB,1,3500000,3500000,1B,108,0.667,328,79,14,50,0.241,0.731,ATL,3500000,3800000,301075,11664,0.44488900000000003,107584,6241,196,2500,0.058080999999999994,0.534361
Cameron Maybin,2018,UFA,HOU,1,3250000,3250000,CF,129,0.796,342,85,4,28,0.249,0.662,SEA,3250000,3250000,1083326,16641,0.6336160000000001,116964,7225,16,784,0.062001,0.438244
Rene Rivera,2018,UFA,CHC,1,2800000,2800000,C,33,0.204,86,20,4,11,0.233,0.693,ATL,2800000,2800000,496782,1089,0.04161599999999999,7396,400,16,121,0.054289000000000004,0.4802489999999999
Nick Hundley,2018,UFA,SF,1,2500000,2500000,C,96,0.593,282,68,10,31,0.241,0.706,SF,2500000,2500000,2500000,9216,0.351649,79524,4624,100,961,0.058080999999999994,0.49843599999999993
Sergio Romo,2018,UFA,TB,1,2500000,2500000,RP,73,0.451,1,0,0,0,0.0,0.0,TB,2500000,2500000,2500000,5329,0.203401,1,0,0,0,0.0,0.0
Alcides Escobar,2018,UFA,KC,1,2500000,2500000,SS,140,0.864,485,112,4,34,0.231,0.593,KC,2500000,3775000,3775000,19600,0.7464959999999999,235225,12544,16,1156,0.053361000000000006,0.351649
Anibal Sanchez,2018,UFA,DET,1,2500000,2500000,SP,25,0.154,41,1,0,0,0.024,0.072,ATL,1000000,1000000,1000000,625,0.023716,1681,1,0,0,0.000576,0.005183999999999999
Chase Utley,2018,UFA,LAD,2,2000000,1000000,2B,87,0.534,164,35,1,14,0.213,0.61,LAD,1000000,1000000,1000000,7569,0.285156,26896,1225,1,196,0.045369,0.3721
Chris Young,2018,UFA,BOS,1,2000000,2000000,RF,59,0.364,113,19,6,13,0.168,0.615,LAA,2000000,2000000,2000000,3481,0.132496,12769,361,36,169,0.028224000000000003,0.378225
Jose Reyes,2018,UFA,NYM,1,2000000,2000000,3B,110,0.679,228,43,4,16,0.189,0.58,NYM,2000000,2000000,2000000,12100,0.4610410000000001,51984,1849,16,256,0.035721,0.3364
