Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias
Philadelphia Phillies,4,403000000,PHI,81,162,14,7,2,0.5
San Diego Padres,4,326000000,SD,70,162,5,2,0,0.43209876543209874
Washington Nationals,7,184550000,WSH,93,162,6,1,1,0.5740740740740741
New York Yankees,5,124555000,NYY,103,162,55,40,27,0.6358024691358025
Los Angeles Dodgers,3,85000000,LAD,105,161,33,25,6,0.6521739130434783
New York Mets,6,79000000,NYM,85,161,9,5,2,0.5279503105590062
Boston Red Sox,1,68000000,BOS,83,161,24,14,9,0.515527950310559
Atlanta Braves,6,52210000,ATL,97,161,25,18,3,0.6024844720496895
Chicago Cubs,5,49325000,CHC,84,162,20,17,3,0.5185185185185185
Texas Rangers,6,47250000,TEX,78,162,8,2,0,0.48148148148148145
Minnesota Twins,4,46800000,MIN,101,162,16,6,3,0.6234567901234568
Houston Astros,3,42250000,HOU,106,161,13,3,1,0.6583850931677019
Oakland Athletics,6,37600000,OAK,97,162,28,15,9,0.5987654320987654
Tampa Bay Rays,2,33500000,TB,96,161,5,1,0,0.5962732919254659
Milwaukee Brewers,5,31900000,MIL,89,161,6,1,0,0.5527950310559007
Los Angeles Angels,4,31000000,LAA,72,161,10,1,1,0.4472049689440994
St. Louis Cardinals,1,25000000,STL,91,162,29,23,11,0.5617283950617284
Chicago White Sox,3,24500000,CHW,72,161,9,6,3,0.4472049689440994
Colorado Rockies,1,24000000,COL,70,161,5,1,0,0.43478260869565216
Kansas City Royals,5,15700000,KC,58,162,9,4,2,0.35802469135802467
Detroit Tigers,4,15500000,DET,47,161,16,11,4,0.2919254658385093
Toronto Blue Jays,5,15500000,TOR,66,161,7,2,2,0.40993788819875776
Arizona Diamondbacks,4,11600000,ARI,85,162,6,1,1,0.5246913580246914
San Francisco Giants,2,8500000,SF,77,161,26,23,8,0.4782608695652174
Pittsburgh Pirates,2,4800000,PIT,69,162,17,9,5,0.42592592592592593
Miami Marlins,2,4500000,MIA,57,162,2,2,2,0.35185185185185186
Seattle Mariners,3,4450000,SEA,68,162,4,0,0,0.41975308641975306
Cincinnati Reds,1,2000000,CIN,75,162,15,10,5,0.46296296296296297
Baltimore Orioles,1,800000,BAL,54,161,14,7,3,0.33540372670807456
