Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
David Price,217000000,31000000,SP,35,0.216,10,0,0,0,0.0,0.091,BOS,30000000,93,161,0.577639751552795
Chris Young,13000000,6500000,RF,76,0.469,203,56,9,24,0.276,0.85,BOS,6500000,93,161,0.577639751552795
Chris Young,13000000,6500000,RP,34,0.21,1,0,0,0,0.0,0.0,BOS,6500000,93,161,0.577639751552795
Chris Young,11500000,5750000,RF,76,0.469,203,56,9,24,0.276,0.85,BOS,6500000,93,161,0.577639751552795
Chris Young,11500000,5750000,RP,34,0.21,1,0,0,0,0.0,0.0,BOS,6500000,93,161,0.577639751552795
Fernando Abad,0,0,RP,57,0.352,1,0,0,0,0.0,0.0,BOS,507500,93,161,0.577639751552795
Zack Greinke,206500000,34416667,SP,27,0.167,52,11,0,3,0.212,0.476,ARI,34000000,68,161,0.422360248447205
Jason Heyward,184000000,23000000,RF,142,0.877,530,122,7,49,0.23,0.631,CHC,21666666,102,160,0.6375
Ben Zobrist,56000000,14000000,2B,147,0.907,523,142,18,76,0.272,0.831,CHC,10500000,102,160,0.6375
John Lackey,32000000,16000000,SP,29,0.179,63,6,0,2,0.095,0.25,CHC,16000000,102,160,0.6375
Dexter Fowler,13000000,13000000,CF,125,0.772,456,126,13,48,0.276,0.84,CHC,8000000,102,160,0.6375
Trevor Cahill,4250000,4250000,RP,51,0.315,8,1,0,1,0.125,0.347,CHC,4250000,102,160,0.6375
Tim Federowicz,0,0,C,17,0.105,31,6,0,3,0.194,0.47,CHC,507500,102,160,0.6375
Chris Davis,161000000,23000000,1B,157,0.969,566,125,38,84,0.221,0.792,BAL,21065362,88,161,0.546583850931677
Yovani Gallardo,22000000,11000000,RP,24,0.148,4,2,0,0,0.5,1.1,BAL,9000000,88,161,0.546583850931677
Pedro Alvarez,5750000,5750000,1B,109,0.673,337,84,22,49,0.249,0.826,BAL,5950000,88,161,0.546583850931677
Steven Pearce,4750000,4750000,LF,85,0.525,264,76,13,35,0.288,0.867,BAL,4750000,88,161,0.546583850931677
Michael Bourn,0,0,CF,113,0.698,375,99,5,38,0.264,0.684,BAL,507500,88,161,0.546583850931677
Paul Janish,0,0,SS,14,0.086,31,6,0,0,0.194,0.512,BAL,507500,88,161,0.546583850931677
Justin Upton,132750000,22125000,LF,153,0.95,570,140,31,87,0.246,0.775,DET,22125000,86,160,0.5375
Jordan Zimmermann,110000000,22000000,SP,19,0.118,4,1,0,0,0.25,0.5,DET,18000000,86,160,0.5375
Jarrod Saltalamacchia,507500,507500,C,92,0.571,246,42,12,38,0.171,0.63,DET,507500,86,160,0.5375
Johnny Cueto,130000000,21666667,SP,32,0.198,70,8,0,5,0.114,0.251,SF,17500000,86,161,0.5341614906832298
Jeff Samardzija,90000000,18000000,SP,34,0.21,64,10,0,9,0.156,0.399,SF,10800000,86,161,0.5341614906832298
Denard Span,31000000,10333333,CF,143,0.883,572,152,11,53,0.266,0.712,SF,5000000,86,161,0.5341614906832298
Gordon Beckham,1250000,1250000,2B,88,0.547,245,52,5,31,0.212,0.633,SF,1250000,86,161,0.5341614906832298
Mike Leake,80000000,16000000,SP,34,0.21,49,7,0,4,0.143,0.356,STL,12000000,85,161,0.5279503105590062
Brayan Pena,5000000,2500000,C,9,0.056,13,2,0,0,0.154,0.445,STL,2500000,85,161,0.5279503105590062
Wei-Yin Chen,80000000,16000000,SP,22,0.137,44,0,0,0,0.0,0.0,MIA,12500000,79,160,0.49375
Jeff Mathis,1500000,1500000,C,41,0.255,127,30,2,15,0.236,0.596,MIA,1500000,79,160,0.49375
