Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Yoenis Cespedes,2017,UFA,NYM,4,110000000,27500000,New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,CF,81,0.5,291,85,17,42,0.292,0.892,1.96,0.0,31,220,0.0,22500000,22500000,22500000,6561,0.25,84681,7225,289,1764,0.08526399999999999,0.795664,3.8415999999999997,0.0
Dexter Fowler,2017,UFA,CHC,5,82500000,16500000,St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,CF,118,0.728,420,111,18,64,0.264,0.851,1.76,48.12,31,205,6.5,14500000,16500000,16500000,13924,0.529984,176400,12321,324,4096,0.06969600000000001,0.724201,3.0976,2315.5343999999996
Kenley Jansen,2017,UFA,LAD,5,80000000,16000000,Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,RP/CL,65,0.401,4,2,0,1,0.5,1.25,2.96,90.26,29,265,6.5,10000000,11333333,11333333,4225,0.16080100000000003,16,4,0,1,0.25,1.5625,8.7616,8146.8676000000005
Ian Desmond,2017,UFA,TEX,5,70000000,14000000,Colorado Rockies,4,97250000,COL,87,162,4,1,0,0.5370370370370371,LF,95,0.586,339,93,7,40,0.274,0.701,-0.96,0.0,31,220,6.3,8000000,8000000,8000000,9025,0.343396,114921,8649,49,1600,0.07507600000000002,0.4914009999999999,0.9216,0.0
Josh Reddick,2017,UFA,LAD,4,52000000,13000000,Houston Astros,3,82000000,HOU,101,162,11,2,1,0.6234567901234568,RF,134,0.827,477,150,13,82,0.315,0.847,4.3,66.46,30,197,6.2,13000000,13000000,13000000,17956,0.6839289999999999,227529,22500,169,6724,0.09922500000000001,0.717409,18.49,4416.931599999999
Rich Hill,2017,UFA,LAD,3,48000000,16000000,Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,SP,25,0.154,45,5,0,4,0.111,0.279,2.23,67.79,37,221,6.5,12000000,12666666,12666666,625,0.023716,2025,25,0,16,0.012321,0.07784100000000002,4.9729,4595.484100000001
Mark Trumbo,2017,UFA,BAL,3,37500000,12500000,Baltimore Orioles,5,55600000,BAL,75,162,14,7,3,0.4629629629629629,DH,146,0.901,559,132,23,65,0.236,0.689,-0.54,9.52,31,225,6.4,11500000,11500000,10000000,21316,0.811801,312481,17424,529,4225,0.055695999999999996,0.47472099999999995,0.2916,90.6304
Kendrys Morales,2017,UFA,KC,3,33000000,11000000,Toronto Blue Jays,6,70000000,TOR,76,162,7,2,2,0.4691358024691358,DH,150,0.926,557,139,28,85,0.25,0.753,-0.16,19.72,34,225,6.1,10000000,10000000,10000000,22500,0.8574760000000001,310249,19321,784,7225,0.0625,0.567009,0.0256,388.87839999999994
Brett Cecil,2017,UFA,TOR,4,30500000,7625000,St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457,RP,73,0.451,1,0,0,0,0.0,0.0,0.5,12.34,30,235,0.0,7500000,7750000,7750000,5329,0.203401,1,0,0,0,0.0,0.0,0.25,152.2756
Ivan Nova,2017,UFA,PIT,3,26000000,8666667,Pittsburgh Pirates,2,37000000,PIT,75,162,17,9,5,0.4629629629629629,SP,31,0.191,51,1,0,0,0.02,0.039,2.15,53.2,30,250,6.5,7000000,8416666,8416666,961,0.036481,2601,1,0,0,0.0004,0.001521,4.6225,2830.2400000000002
Jason Castro,2017,UFA,HOU,3,24500000,8166667,Minnesota Twins,2,26550000,MIN,85,162,15,6,3,0.5246913580246914,C,110,0.679,356,86,10,47,0.242,0.72,2.58,32.34,30,215,6.3,8500000,8500000,8500000,12100,0.4610410000000001,126736,7396,100,2209,0.058564,0.5184,6.6564000000000005,1045.8756000000003
Edinson Volquez,2017,UFA,KC,2,22000000,11000000,Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.4753086419753086,SP,17,0.105,26,5,0,1,0.192,0.407,0.68,37.36,33,220,0.0,9000000,9000000,9000000,289,0.011024999999999998,676,25,0,1,0.036864,0.165649,0.4624000000000001,1395.7695999999999
Jose Bautista,2017,UFA,TOR,1,18500000,18500000,Toronto Blue Jays,6,70000000,TOR,76,162,7,2,2,0.4691358024691358,RF,157,0.969,587,120,23,65,0.204,0.677,-1.0,4.99,36,205,6.0,18000000,18000000,18000000,24649,0.9389609999999999,344569,14400,529,4225,0.04161599999999999,0.45832900000000004,1.0,24.900100000000002
Jason Hammel,2017,UFA,CHC,2,16000000,8000000,Kansas City Royals,4,43800000,KC,80,162,9,4,2,0.4938271604938271,SP,32,0.198,8,0,0,0,0.0,0.0,1.41,32.19,34,225,6.6,5000000,5000000,5000000,1024,0.039204,64,0,0,0,0.0,0.0,1.9880999999999998,1036.1961
Carlos Beltran,2017,UFA,TEX,1,16000000,16000000,Houston Astros,3,82000000,HOU,101,162,11,2,1,0.6234567901234568,DH,129,0.796,467,108,14,51,0.231,0.666,-0.79,4.15,40,213,6.1,16000000,16000000,16000000,16641,0.6336160000000001,218089,11664,196,2601,0.053361000000000006,0.44355600000000006,0.6241000000000001,17.222500000000004
Charlie Morton,2017,UFA,PHI,2,14000000,7000000,Houston Astros,3,82000000,HOU,101,162,11,2,1,0.6234567901234568,SP,25,0.154,3,0,0,0,0.0,0.0,1.82,71.93,33,215,6.5,7000000,8875000,8875000,625,0.023716,9,0,0,0,0.0,0.0,3.3124000000000002,5173.924900000001
Matt Holliday,2017,UFA,STL,1,13000000,13000000,New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284,DH,105,0.648,373,86,19,64,0.231,0.748,-0.02,21.06,37,250,6.4,13000000,13000000,13000000,11025,0.419904,139129,7396,361,4096,0.053361000000000006,0.559504,0.0004,443.52359999999993
Wilson Ramos,2017,UFA,WSH,2,12500000,6250000,Tampa Bay Rays,5,21700000,TB,80,162,4,1,0,0.4938271604938271,C,64,0.395,208,54,11,35,0.26,0.737,0.09,0.0,29,245,6.1,4000000,4000000,4000000,4096,0.15602500000000002,43264,2916,121,1225,0.06760000000000001,0.543169,0.0081,0.0
Brandon Moss,2017,UFA,STL,2,12000000,6000000,Kansas City Royals,4,43800000,KC,80,162,9,4,2,0.4938271604938271,DH,118,0.728,362,75,22,50,0.207,0.707,-0.97,13.76,33,210,6.1,3750000,3750000,3750000,13924,0.529984,131044,5625,484,2500,0.042849,0.49984899999999993,0.9409,189.33759999999998
