Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
Patrick Corbin,140000000,23333333,SP,33,33,202.0,169,81,73,70,238,14,7,0,1.18,3.25,WSH,12916666,93,162,0.5740740740740741
Anibal Sanchez,19000000,9500000,SP,30,30,166.0,153,77,71,58,134,11,8,0,1.27,3.85,WSH,10000000,93,162,0.5740740740740741
Brian Dozier,9000000,9000000,2B,135,114,1.0,2,2,2,0,0,0,0,0,2.0,18.0,WSH,9000000,93,162,0.5740740740740741
Daniel Hudson,1500000,1500000,RP,69,1,73.0,56,25,20,27,71,9,3,8,1.14,2.47,WSH,1500000,93,162,0.5740740740740741
Hunter Strickland,1300000,1300000,RP,28,0,24.3,22,15,15,8,18,2,1,2,1.23,5.55,WSH,1375000,93,162,0.5740740740740741
Jeremy Hellickson,1300000,1300000,RP,9,8,39.0,47,31,27,20,30,2,3,0,1.72,6.23,WSH,1900000,93,162,0.5740740740740741
Nathan Eovaldi,68000000,17000000,SP,23,12,67.7,72,46,45,35,70,2,1,0,1.58,5.99,BOS,17000000,83,161,0.515527950310559
Chris Owings,3000000,3000000,2B,67,47,1.7,6,4,4,1,0,0,0,0,4.2,21.6,BOS,555000,83,161,0.515527950310559
Craig Kimbrel,43000000,14333333,RP,23,0,20.7,21,15,15,12,30,0,4,13,1.6,6.53,CHC,10000000,84,162,0.5185185185185185
Derek Holland,7000000,7000000,RP,53,8,84.3,82,61,57,45,82,2,5,0,1.51,6.08,CHC,6500000,84,162,0.5185185185185185
Daniel Descalso,5000000,2500000,2B,82,38,1.0,2,2,2,0,0,0,0,0,2.0,18.0,CHC,1500000,84,162,0.5185185185185185
David Phelps,2500000,2500000,RP,41,1,34.3,31,14,13,17,36,2,1,1,1.4,3.41,CHC,2500000,84,162,0.5185185185185185
Zack Britton,39000000,13000000,RP,66,0,61.3,38,13,13,32,53,3,1,3,1.14,1.91,NYY,13000000,103,162,0.6358024691358025
J.A. Happ,34000000,17000000,SP,32,29,161.3,160,88,88,49,140,12,8,0,1.29,4.91,NYY,17000000,103,162,0.6358024691358025
Adam Ottavino,27000000,9000000,RP,73,0,66.3,47,17,14,40,88,6,5,2,1.31,1.9,NYY,9000000,103,162,0.6358024691358025
