Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,WAR_2,TVS_2,Dominio_2,Control_2,Comando_2
David Price,2016,UFA,TOR,7,217000000,31000000,Boston Red Sox,6,230000000,BOS,93,161,22,13,8,0.577639751552795,SP,35,35,230.0,227,106,102,50,228,17,9,0,1.2,3.99,2.99,29.72,30,215,6.5,30000000,30000000,30000000,0.11014492753623188,0.024154589371980676,4.56,1225,1225,52900.0,51529,11236,10404,2500,51984,289,81,0,1.44,15.920100000000001,8.940100000000001,883.2783999999999,0.012131905061961773,0.0005834441877290019,20.793599999999998
Zack Greinke,2016,UFA,LAD,6,206500000,34416667,Arizona Diamondbacks,7,218750000,ARI,68,161,5,1,1,0.422360248447205,SP,27,26,158.7,161,80,77,41,134,13,7,0,1.27,4.37,2.34,16.62,32,200,6.2,31000000,34000000,34000000,0.0938178253868235,0.02870545403626689,3.268292682926829,729,676,25185.689999999995,25921,6400,5929,1681,17956,169,49,0,1.6129,19.0969,5.475599999999999,276.22440000000006,0.008801784360312504,0.0008240030914282311,10.68173706127305
Jordan Zimmermann,2016,UFA,WSH,5,110000000,22000000,Detroit Tigers,11,272257500,DET,86,160,16,11,4,0.5375,SP,19,18,105.3,118,63,57,26,66,9,7,0,1.37,4.87,0.39,8.57,30,225,6.2,18000000,18000000,18000000,0.0696422918645141,0.027434842249657067,2.5384615384615383,361,324,11088.09,13924,3969,3249,676,4356,81,49,0,1.8769000000000002,23.716900000000003,0.1521,73.4449,0.004850048816142166,0.0007526705692635685,6.44378698224852
Jeff Samardzija,2016,UFA,CHW,5,90000000,18000000,San Francisco Giants,8,251000000,SF,86,161,26,23,8,0.5341614906832298,SP,34,32,203.3,190,88,86,54,167,12,11,0,1.2,3.81,2.65,53.19,31,240,0.0,9000000,10800000,10800000,0.09127179319014046,0.02951303492375799,3.0925925925925926,1156,1024,41330.89000000001,36100,7744,7396,2916,27889,144,121,0,1.44,14.5161,7.0225,2829.1760999999997,0.00833054023214377,0.0008710192304109589,9.564128943758574
Mike Leake,2016,UFA,SF,5,80000000,16000000,St. Louis Cardinals,5,94000000,STL,85,161,28,23,11,0.5279503105590062,SP,34,30,176.7,203,101,92,30,125,9,12,0,1.32,4.69,0.37,19.12,28,170,0.0,12000000,12000000,12000000,0.0786015217254606,0.018864365214110546,4.166666666666667,1156,900,31222.889999999996,41209,10201,8464,900,15625,81,144,0,1.7424000000000002,21.996100000000002,0.1369,365.5744,0.006178199217558055,0.00035586427493134403,17.361111111111114
Wei-Yin Chen,2016,UFA,BAL,5,80000000,16000000,Miami Marlins,10,84707500,MIA,79,160,2,2,2,0.49375,SP,22,22,123.3,134,69,68,24,100,5,5,0,1.28,4.96,-0.25,8.52,30,200,0.0,6000000,12500000,12500000,0.09011444534558889,0.021627466882941336,4.166666666666667,484,484,15202.89,17956,4761,4624,576,10000,25,25,0,1.6384,24.6016,0.0625,72.59039999999999,0.008120613259943128,0.00046774732377272425,17.361111111111114
Ian Kennedy,2016,UFA,SD,5,70000000,14000000,Kansas City Royals,10,186750000,KC,81,161,9,4,2,0.5031055900621118,SP,33,33,195.4,173,81,80,66,184,11,11,0,1.22,3.68,3.9,54.05,31,205,6.0,7500000,7500000,7500000,0.10462868190606163,0.037529853292391675,2.787878787878788,1089,1089,38181.16,29929,6561,6400,4356,33856,121,121,0,1.4884,13.5424,15.209999999999999,2921.4024999999997,0.010947161077399828,0.0014084898881484423,7.7722681359045005
Scott Kazmir,2016,UFA,HOU,3,48000000,16000000,Los Angeles Dodgers,8,79750000,LAD,91,161,30,25,6,0.5652173913043478,SP,27,26,136.3,133,71,69,52,134,10,6,0,1.36,4.56,0.48,15.53,32,185,6.0,11000000,12666666,12666666,0.10923616206081356,0.04239015244150974,2.576923076923077,729,676,18577.690000000002,17689,5041,4761,2704,17956,100,36,0,1.8496000000000004,20.793599999999998,0.2304,241.18089999999998,0.011932539101776324,0.001796925024014434,6.640532544378699
J.A. Happ,2016,UFA,PIT,3,36000000,12000000,Toronto Blue Jays,13,65800000,TOR,88,161,7,2,2,0.546583850931677,SP,32,32,195.0,168,72,69,60,163,20,4,0,1.17,3.19,4.5,86.31,33,205,6.5,10000000,10000000,10000000,0.09287749287749288,0.03418803418803419,2.716666666666667,1024,1024,38025.0,28224,5184,4761,3600,26569,400,16,0,1.3688999999999998,10.1761,20.25,7449.4161,0.00862622868320874,0.0011688216816421947,7.380277777777779
John Lackey,2016,UFA,STL,2,32000000,16000000,Chicago Cubs,15,291277500,CHC,102,160,18,17,3,0.6375,SP,29,29,188.3,146,74,70,53,180,11,8,0,1.06,3.35,2.81,72.18,37,235,6.6,16000000,16000000,16000000,0.10621348911311736,0.03127397179441789,3.3962264150943398,841,841,35456.89000000001,21316,5476,4900,2809,32400,121,64,0,1.1236000000000002,11.2225,7.896100000000001,5209.952400000001,0.0112813052695823,0.0009780613117980458,11.53435386258455
Darren O'Day,2016,UFA,BAL,4,31000000,7750000,Baltimore Orioles,8,220260000,BAL,88,161,14,7,3,0.546583850931677,RP,34,0,31.0,25,13,13,13,38,3,1,3,1.23,3.77,0.51,0.0,33,220,6.4,6000000,6000000,6000000,0.13620071684587814,0.04659498207885305,2.923076923076923,1156,0,961.0,625,169,169,169,1444,9,1,9,1.5129,14.2129,0.2601,0.0,0.018550635269331074,0.0021710923549286367,8.54437869822485
Marco Estrada,2016,UFA,TOR,2,26000000,13000000,Toronto Blue Jays,13,65800000,TOR,88,161,7,2,2,0.546583850931677,SP,29,29,176.0,132,73,68,65,165,9,9,0,1.12,3.48,3.63,68.46,32,180,6.0,11000000,11500000,11500000,0.10416666666666667,0.041035353535353536,2.5384615384615383,841,841,30976.0,17424,5329,4624,4225,27225,81,81,0,1.2544000000000002,12.1104,13.1769,4686.771599999999,0.010850694444444446,0.001683900239771452,6.44378698224852
Joakim Soria,2016,UFA,PIT,3,25000000,8333333,Kansas City Royals,10,186750000,KC,81,161,9,4,2,0.5031055900621118,RP/CL,70,0,66.7,70,31,30,27,68,5,8,1,1.46,4.05,0.39,4.84,32,205,6.3,7000000,7000000,7000000,0.1132766949858404,0.04497751124437781,2.5185185185185186,4900,0,4448.89,4900,961,900,729,4624,25,64,1,2.1315999999999997,16.4025,0.1521,23.4256,0.012831609626915121,0.002022976517738132,6.342935528120714
Yovani Gallardo,2016,UFA,TEX,2,22000000,11000000,Baltimore Orioles,8,220260000,BAL,88,161,14,7,3,0.546583850931677,RP,24,23,117.8,126,74,71,61,85,6,8,0,1.59,5.43,0.08,0.0,30,205,6.2,9000000,9000000,9000000,0.08017355215996981,0.05753631390303716,1.3934426229508197,576,529,13876.84,15876,5476,5041,3721,7225,36,64,0,2.5281000000000002,29.484899999999996,0.0064,0.0,0.0064277984659474,0.003310427417548827,1.9416823434560602
Ryan Madson,2016,UFA,KC,3,22000000,7333333,Oakland Athletics,4,42250000,OAK,68,161,26,15,9,0.422360248447205,RP,63,0,64.7,63,27,26,20,49,6,7,30,1.28,3.62,1.32,59.27,35,234,6.6,6500000,7916666,7916666,0.08414906405632834,0.03434655675768504,2.45,3969,0,4186.09,3969,729,676,400,2401,36,49,900,1.6384,13.1044,1.7424000000000002,3512.9329000000002,0.007081064981556051,0.00117968596110888,6.002500000000001
Tony Sipp,2016,UFA,HOU,3,18000000,6000000,Houston Astros,3,26000000,HOU,84,161,10,1,0,0.5217391304347826,RP,60,0,43.7,52,26,24,18,40,1,2,1,1.6,4.95,-0.39,0.39,32,190,6.0,6000000,6000000,6000000,0.10170353419781338,0.04576659038901602,2.2222222222222223,3600,0,1909.6900000000003,2704,676,576,324,1600,1,4,1,2.5600000000000005,24.5025,0.1521,0.1521,0.010343608868325794,0.002094580795835973,4.938271604938272
Mike Pelfrey,2016,UFA,MIN,2,16000000,8000000,Detroit Tigers,11,272257500,DET,86,160,16,11,4,0.5375,RP,24,22,119.0,161,76,71,46,56,4,10,0,1.74,5.37,0.07,0.0,32,240,6.7,8000000,8000000,8000000,0.05228758169934641,0.04295051353874883,1.2173913043478262,576,484,14161.0,25921,5776,5041,2116,3136,16,100,0,3.0276,28.8369,0.004900000000000001,0.0,0.0027339911999658254,0.0018447466132422469,1.4820415879017015
Shawn Kelley,2016,UFA,SD,3,15000000,5000000,Washington Nationals,11,68750000,WSH,94,161,4,1,0,0.5838509316770186,RP,67,0,58.0,41,19,17,11,80,3,2,7,0.9,2.64,1.48,51.39,32,237,6.2,4000000,4200000,4200000,0.1532567049808429,0.0210727969348659,7.2727272727272725,4489,0,3364.0,1681,361,289,121,6400,9,4,49,0.81,6.969600000000001,2.1904,2640.9321,0.023487617621585116,0.0004440627706580937,52.89256198347107
Tyler Clippard,2016,UFA,NYM,2,12250000,6125000,New York Yankees,4,1049914,NYY,84,161,52,40,27,0.5217391304347826,RP,69,0,63.0,54,27,25,26,72,4,6,3,1.27,3.57,0.45,16.24,31,200,6.3,4100000,6100000,1433879,0.12698412698412698,0.04585537918871252,2.769230769230769,4761,0,3969.0,2916,729,625,676,5184,16,36,9,1.6129,12.7449,0.2025,263.73759999999993,0.016124968505920885,0.0021027158005406093,7.668639053254437
Hisashi Iwakuma,2016,UFA,SEA,1,12000000,12000000,Seattle Mariners,8,35100000,SEA,86,161,4,0,0,0.5341614906832298,SP,33,33,199.0,218,95,91,46,147,16,12,0,1.33,4.12,2.6,47.8,35,210,6.3,10000000,13500000,13500000,0.08207705192629816,0.02568397543271915,3.1956521739130435,1089,1089,39601.0,47524,9025,8281,2116,21609,256,144,0,1.7689000000000001,16.9744,6.760000000000001,2284.8399999999997,0.006736642452912244,0.0006596665940285209,10.212192816635161
