Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
CHC,6.5,2018,6,36,1296,2,7,24,576,22,484,2.3333333333333335,5.4444444444444455,0.058333333333333334,0.003402777777777778,0.1361111111111111,0.018526234567901232,4.95,24.5025,31,Chicago Cubs,LAD,Illinois,40.0,1600.0,8,163,64,8,64,Yu Darvish,3,9,17,220,20,SP,0.5828220858895705,0,0,UFA,49,2401,25000000,25000000,25000000,0.0,0.0,126000000,215545000,21000000,95,-0.07,0.004900000000000001,1.42,2.0164,3,21,441,1,1
PHI,6.4,2018,3,165,27225,2,4,93,8649,76,5776,2.4210526315789473,5.861495844875346,0.03667245705462266,0.0013448691064231431,0.08878594865856013,0.007882944679200475,3.96,15.6816,32,Philadelphia Phillies,CHC,Pennsylvania,172.7,29825.289999999997,31,162,961,31,961,Jake Arrieta,11,121,7,230,14,SP,0.4938271604938271,0,0,UFA,138,19044,30000000,30000000,30000000,32.43,1051.7049,75000000,169200000,25000000,80,2.96,8.7616,1.29,1.6641000000000001,2,57,3249,10,100
BAL,6.3,2018,4,172,29584,1,2,93,8649,83,6889,2.372093023255814,5.626825310978909,0.03137083242139053,0.0009841291268109671,0.07441453272050777,0.0055375226800115215,4.9,24.010000000000005,30,Baltimore Orioles,TB,Maryland,152.3,23195.290000000005,28,162,784,28,784,Alex Cobb,15,225,7,205,14,SP,0.2901234567901234,0,0,UFA,102,10404,14000000,14000000,7500000,13.46,181.1716,57000000,73000000,14250000,47,1.12,1.2544000000000002,1.41,1.9880999999999998,3,43,1849,5,25
COL,6.5,2018,3,43,1849,1,5,31,961,30,900,3.0,9.0,0.04424025863535818,0.001957200484123384,0.13272077590607453,0.017614804357110454,4.13,17.0569,32,Colorado Rockies,CHC,Colorado,65.3,4264.089999999999,69,163,4761,0,0,Wade Davis,6,36,1,225,5,RP,0.558282208588957,43,1849,UFA,78,6084,16000000,16000000,16000000,25.02,626.0004,52000000,122500000,17333333,91,1.09,1.1881000000000002,1.06,1.1236000000000002,0,26,676,3,9
TEX,6.4,2018,3,138,19044,2,4,76,5776,73,5329,3.473684210526316,12.066481994459835,0.02689313517338995,0.0007232407194542237,0.09341825902335456,0.008726971118954565,4.19,17.556100000000004,30,Texas Rangers,KC,Texas,157.0,24649.0,28,162,784,28,784,Mike Minor,8,64,2,210,8,SP,0.4135802469135802,0,0,UFA,132,17424,8333333,8000000,8333333,61.58,3792.0964,28000000,35000000,9333333,67,3.72,13.838400000000002,1.12,1.2544000000000002,0,38,1444,12,144
COL,6.4,2018,3,59,3481,1,5,39,1521,37,1369,2.9375,8.62890625,0.03465453757851419,0.001200936974780652,0.10179770413688542,0.010362772567540859,6.49,42.1201,31,Colorado Rockies,COL,Colorado,51.3,2631.6899999999996,61,163,3721,0,0,Jake McGee,4,16,1,229,5,RP,0.558282208588957,1,1,UFA,47,2209,7000000,7000000,7000000,0.26,0.06760000000000001,27000000,122500000,9000000,91,-0.82,0.6723999999999999,1.46,2.1315999999999997,0,16,256,2,4
COL,6.1,2018,3,70,4900,1,5,43,1849,36,1296,1.9285714285714286,3.719387755102041,0.05687588868576071,0.0032348667137950433,0.10968921389396709,0.012031723644676463,5.93,35.164899999999996,30,Colorado Rockies,CLE,Colorado,54.7,2992.09,61,163,3721,0,0,Bryan Shaw,6,36,1,226,5,RP,0.558282208588957,0,0,UFA,54,2916,7500000,7500000,7500000,0.22,0.0484,27000000,122500000,9000000,91,-1.08,1.1664,1.79,3.2041,0,28,784,4,16
CHC,6.3,2018,2,24,576,2,7,5,25,5,25,3.4444444444444446,11.8641975308642,0.03257328990228013,0.0010610192150579847,0.11219688744118711,0.01258814155149041,1.47,2.1609,33,Chicago Cubs,LAD,Illinois,30.7,942.49,35,163,1225,0,0,Brandon Morrow,0,0,17,205,20,RP,0.5828220858895705,22,484,UFA,31,961,9000000,9000000,9000000,0.0,0.0,21000000,215545000,10500000,95,1.44,2.0736,1.08,1.1664,3,9,81,0,0
PHI,6.3,2018,2,65,4225,2,4,28,784,27,729,3.4,11.559999999999999,0.026041666666666668,0.0006781684027777779,0.08854166666666667,0.007839626736111112,3.8,14.44,31,Philadelphia Phillies,TB,Pennsylvania,64.0,4096.0,65,162,4225,0,0,Tommy Hunter,4,16,7,250,14,RP,0.4938271604938271,4,16,UFA,51,2601,9000000,9000000,9000000,24.06,578.8835999999999,18000000,169200000,9000000,80,1.53,2.3409,1.25,1.5625,2,15,225,5,25
SEA,0.0,2018,2,53,2809,1,3,30,900,28,784,10.6,112.36,0.013227513227513227,0.0001749671061840374,0.1402116402116402,0.01965930405083844,6.0,36.0,31,Seattle Mariners,STL,Washington,42.0,1764.0,46,162,2116,0,0,Juan Nicasio,6,36,0,252,4,RP,0.5493827160493827,1,1,UFA,53,2809,7750000,7500000,7750000,0.0,0.0,17000000,17750000,8500000,89,-1.1,1.2100000000000002,1.38,1.9043999999999996,0,5,25,1,1
