Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
PHI,6.5,2014,4,1,60,3600,8,64,2,7,37,Philadelphia Phillies,PIT,Pennsylvania,0,0,34,162,1156,A.J. Burnett,0.341,0.11628100000000002,7,230,14,0.133,0.017689000000000003,0.21,0.04409999999999999,SP,0.4506172839506173,1,1,UFA,11250000,7500000,11250000,12.28,150.7984,16000000,59875000,16000000,73,0.17,0.028900000000000006,2,16.235878686614704,15.830413578506539,16.235878686614704
STL,6.3,2014,4,1,338,114244,85,7225,2,5,37,St. Louis Cardinals,BOS,Missouri,5,25,102,161,10404,A.J. Pierzynski,0.625,0.390625,23,250,27,0.252,0.063504,0.63,0.39690000000000003,C,0.5527950310559007,37,1369,UFA,167539,167539,167539,12.26,150.3076,500000,59750000,500000,89,-0.24,0.0576,11,12.028971438966101,12.028971438966101,12.028971438966101
WSH,6.2,2013,4,2,494,244036,128,16384,1,8,34,Washington Nationals,WSH,Washington DC,26,676,140,162,19600,Adam LaRoche,0.817,0.6674889999999999,1,205,3,0.259,0.067081,0.864,0.7464959999999999,DH,0.5925925925925926,92,8464,UFA,12000000,12000000,12000000,69.09,4773.4281,24000000,14150000,12000000,96,2.26,5.107599999999999,0,16.300417207752275,16.300417207752275,16.300417207752275
TEX,6.2,2014,4,1,164,26896,43,1849,2,7,31,Texas Rangers,OAK,Texas,4,16,56,162,3136,Adam Rosales,0.706,0.49843599999999993,2,200,6,0.262,0.06864400000000001,0.346,0.11971599999999999,2B,0.4135802469135802,19,361,UFA,750000,750000,750000,0.0,0.0,750000,136050000,750000,67,1.22,1.4884,0,13.527828485512494,13.527828485512494,13.527828485512494
LAA,6.3,2012,4,10,633,400689,172,29584,5,8,34,Los Angeles Angels,STL,California,28,784,159,161,25281,Albert Pujols,0.79,0.6241000000000001,1,235,10,0.272,0.07398400000000001,0.982,0.964324,DH,0.6086956521739131,105,11025,UFA,23000000,23000000,23000000,42.34,1792.6756000000003,240000000,22100000,24000000,98,3.99,15.920100000000001,1,16.951004773893423,16.951004773893423,16.951004773893423
SF,6.2,2013,4,4,383,146689,115,13225,5,7,32,San Francisco Giants,SF,California,3,9,96,161,9216,Angel Pagan,0.731,0.534361,23,202,25,0.3,0.09,0.593,0.351649,LF,0.5403726708074534,27,729,UFA,10250000,9000000,10250000,0.0,0.0,40000000,25850000,10000000,87,1.47,2.1609,8,16.14278826354869,16.012735135300492,16.14278826354869
DET,6.0,2013,4,5,5,25,1,1,1,5,30,Detroit Tigers,DET,Michigan,0,0,22,162,484,Anibal Sanchez,0.6,0.36,11,205,16,0.2,0.04000000000000001,0.136,0.018496000000000002,RP,0.5555555555555556,1,1,UFA,15800000,15000000,15800000,58.16,3382.5855999999994,80000000,33500000,16000000,90,2.28,5.1983999999999995,4,16.575520497997196,16.523560759066484,16.575520497997196
MIL,6.1,2012,4,3,494,244036,141,19881,1,7,36,Milwaukee Brewers,CHC,Wisconsin,15,225,133,162,17689,Aramis Ramirez,0.757,0.573049,1,215,4,0.285,0.08122499999999999,0.821,0.6740409999999999,3B,0.5061728395061729,66,4356,UFA,16050000,16000000,16050000,29.36,862.0096,36000000,57600000,12000000,82,1.39,1.9320999999999997,0,16.591219407540297,16.588099280204055,16.591219407540297
ARI,6.4,2014,4,2,1,1,0,0,1,8,34,Arizona Diamondbacks,ARI,Arizona,0,0,68,161,4624,Brad Ziegler,0.0,0.0,1,220,5,0.0,0.0,0.42,0.17639999999999997,RP,0.3975155279503105,0,0,UFA,4500000,4500000,4500000,17.3,299.29,10500000,42450000,5250000,64,0.25,0.0625,1,15.319587954740548,15.319587954740548,15.319587954740548
NYY,6.7,2013,4,2,29,841,4,16,2,9,30,New York Yankees,OAK,New York,0,0,32,162,1024,Brandon McCarthy,0.276,0.07617600000000001,40,225,50,0.138,0.019044000000000002,0.198,0.039204,SP,0.5185185185185185,3,9,UFA,10250000,9000000,4180327,25.12,631.0144,15500000,311500000,7750000,84,-0.69,0.4760999999999999,27,16.14278826354869,16.012735135300492,15.24590003110623
