Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
NYY,6.5,2019,3,47,2209,2,5,17,289,14,196,2.2,4.840000000000001,0.06703536115300822,0.004493739644914244,0.14747779453661808,0.021749699881384938,1.9,3.61,33,New York Yankees,COL,New York,66.3,4395.69,73,162,5329,0,0,Adam Ottavino,5,25,40,246,55,RP,0.6358024691358025,2,4,UFA,88,7744,9000000,8000000,9000000,56.66,3210.3555999999994,27000000,124555000,9000000,103,2.17,4.7089,1.31,1.7161000000000002,27,40,1600,6,36
SD,6.1,2019,1,28,784,5,4,18,324,17,289,2.0833333333333335,4.340277777777779,0.04645760743321719,0.002158309288418917,0.0967866821525358,0.009367661842095993,5.34,28.5156,31,San Diego Padres,SEA,California,28.7,823.6899999999999,25,162,625,0,0,Adam Warren,1,1,2,224,5,RP,0.4320987654320987,0,0,UFA,25,625,2000000,2000000,2000000,0.0,0.0,2500000,326000000,2500000,70,-0.24,0.0576,1.39,1.9320999999999997,0,12,144,4,16
BAL,6.3,2018,4,21,441,1,1,16,256,15,225,4.0,16.0,0.018066847335140017,0.00032641097263125593,0.07226738934056007,0.005222575562100095,10.95,119.90249999999999,31,Baltimore Orioles,TB,Maryland,12.3,151.29000000000002,3,161,9,3,9,Alex Cobb,2,4,7,205,14,SP,0.3354037267080745,0,0,UFA,8,64,14000000,14000000,9500000,0.0,0.0,57000000,800000,14250000,54,-0.41,0.16809999999999997,1.87,3.4969000000000006,3,2,4,0,0
KC,6.1,2016,4,8,64,2,5,5,25,5,25,0.0,0.0,0.0966183574879227,0.00933510700366403,0.0,0.0,19.29,372.10409999999996,35,Kansas City Royals,KC,Missouri,2.3,5.289999999999999,150,162,22500,147,21609,Alex Gordon,0,0,4,225,9,LF,0.3580246913580246,0,0,UFA,0,0,20000000,20000000,20000000,18.52,342.99039999999997,72000000,15700000,18000000,58,1.35,1.8225000000000002,4.29,18.4041,2,2,4,0,0
BOS,6.6,2018,2,144,20736,1,1,84,7056,78,6084,1.8620689655172413,3.4673008323424495,0.04296296296296296,0.001845816186556927,0.08,0.0064,4.68,21.902399999999997,32,Boston Red Sox,TEX,Massachusetts,150.0,22500.0,42,161,1764,22,484,Andrew Cashner,8,64,14,235,24,RP,0.515527950310559,1,1,UFA,108,11664,12500000,8000000,1577000,0.0,0.0,16000000,68000000,8000000,83,2.69,7.2360999999999995,1.35,1.8225000000000002,9,58,3364,11,121
STL,6.7,2019,2,45,2025,2,1,32,1024,27,729,2.5925925925925926,6.72153635116598,0.054844606946983544,0.0030079309111691157,0.14218972171440178,0.02021791696121902,4.45,19.802500000000002,34,St. Louis Cardinals,CLE,Missouri,54.7,2992.09,73,162,5329,0,0,Andrew Miller,6,36,23,200,29,RP,0.5617283950617284,6,36,UFA,70,4900,11500000,11000000,11500000,2.87,8.2369,25000000,25000000,12500000,91,-0.45,0.2025,1.32,1.7424000000000002,11,27,729,5,25
WSH,6.0,2019,2,153,23409,1,7,77,5929,71,5041,2.310344827586207,5.33769322235434,0.038821954484605084,0.0015071441500047488,0.08969210174029452,0.008044673114591342,3.85,14.822500000000002,35,Washington Nationals,ATL,Washington DC,166.0,27556.0,30,162,900,30,900,Anibal Sanchez,8,64,1,205,6,SP,0.5740740740740741,0,0,UFA,134,17956,10000000,8000000,6000000,70.67,4994.2489000000005,19000000,184550000,9500000,93,3.66,13.395600000000002,1.27,1.6129,1,58,3364,11,121
ATL,6.4,2018,2,52,2704,1,6,30,900,27,729,1.9259259259259258,3.7091906721536345,0.05628517823639775,0.0031680212891030627,0.10840108401084012,0.011750795014725217,4.56,20.793599999999998,33,Atlanta Braves,MIL,Georgia,53.3,2840.89,59,161,3481,0,0,Anthony Swarzak,4,16,18,215,25,RP,0.6024844720496895,4,16,UFA,52,2704,8500000,8000000,3720463,6.82,46.51240000000001,14000000,52210000,7000000,97,-0.34,0.11560000000000002,1.48,2.1904,3,27,729,3,9
NYY,6.4,2017,5,38,1444,2,5,18,324,14,196,3.4,11.559999999999999,0.04873294346978557,0.0023748997792293162,0.16569200779727095,0.027453841447890898,2.21,4.8841,31,New York Yankees,CHC,New York,57.0,3249.0,60,162,3600,0,0,Aroldis Chapman,2,4,40,218,55,RP,0.6358024691358025,37,1369,UFA,85,7225,17200000,15000000,17200000,62.94,3961.4435999999996,86000000,124555000,17200000,103,1.52,2.3104,1.11,1.2321000000000002,27,25,625,3,9
CHC,6.3,2016,4,0,0,2,5,0,0,0,0,0.5,0.25,0.2222222222222222,0.04938271604938271,0.1111111111111111,0.012345679012345678,0.0,0.0,38,Chicago Cubs,KC,Illinois,1.0,1.0,48,162,2304,38,1444,Ben Zobrist,0,0,17,210,20,2B,0.5185185185185185,0,0,UFA,1,1,12500000,12000000,3086022,0.0,0.0,56000000,49325000,14000000,84,-0.13,0.016900000000000002,2.0,4.0,3,2,4,0,0
