Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_t,Anio_t_1,Anios_contrato,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,Sueldo_t,Sueldo_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_base_t,ln_Sueldo_regular_t,ln_Sueldo_t
NYY,COL,6.5,6.5,2019,9,8,3,2209,1681,47,41,5,5,289,625,196,441,14,21,17,25,4.840000000000001,9.679012345679013,2.2,3.111111111111111,0.004493739644914244,0.00265019570038875,0.06703536115300822,0.05148005148005148,0.021749699881384938,0.025651276902528143,0.14747779453661808,0.16016016016016013,3.61,5.9049000000000005,1.9,2.43,33,32,COL,New York Yankees,Colorado Rockies,4395.69,6037.290000000001,66.3,77.7,5329,5625,0,0,0,0,73,75,162,163,Adam Ottavino,25,16,5,4,40,1,246,246,55,5,RP,RP,0.6358024691358025,0.558282208588957,4,36,2,6,UFA,7744,12544,88,112,8000000,7000000,9000000,7000000,9000000,7000000,3210.3555999999994,8317.44,56.66,91.2,27000000,124555000,122500000,9000000,103,91,4.7089,6.969600000000001,2.17,2.64,1.7161000000000002,0.9801,1.31,0.99,27,0,1600,1296,40,36,36,36,6,6,15.89495209964411,16.012735135300492,16.012735135300492
SD,SEA,6.1,6.1,2019,9,8,1,784,2304,28,48,4,3,324,324,289,324,17,18,18,18,4.340277777777779,6.760000000000001,2.0833333333333335,2.6,0.002158309288418917,0.0018475401550150856,0.04645760743321719,0.04298302170642596,0.009367661842095993,0.012489371447901979,0.0967866821525358,0.1117558564367075,28.5156,9.8596,5.34,3.14,31,30,SEA,San Diego Padres,Seattle Mariners,823.6899999999999,2672.8900000000003,28.7,51.7,625,2209,0,0,0,0,25,47,162,162,Adam Warren,1,4,1,2,2,0,224,224,5,4,RP,RP,0.4320987654320987,0.5493827160493827,0,0,0,0,UFA,625,2704,25,52,2000000,3315000,2000000,1105026,2000000,3315000,0.0,0.0,0.0,0.0,2500000,326000000,17750000,2500000,70,89,0.0576,0.5041,-0.24,0.71,1.9320999999999997,1.7424000000000002,1.39,1.32,0,0,144,400,12,20,16,9,4,3,14.508657738524219,14.508657738524219,14.508657738524219
BAL,BAL,6.3,6.3,2018,9,8,4,441,29584,21,172,1,2,256,8649,225,6889,15,83,16,93,16.0,5.626825310978909,4.0,2.372093023255814,0.00032641097263125593,0.0009841291268109671,0.018066847335140017,0.03137083242139053,0.005222575562100095,0.0055375226800115215,0.07226738934056007,0.07441453272050777,119.90249999999999,24.010000000000005,10.95,4.9,31,30,TB,Baltimore Orioles,Baltimore Orioles,151.29000000000002,23195.290000000005,12.3,152.3,9,784,9,784,3,28,3,28,161,162,Alex Cobb,4,225,2,15,7,7,205,205,14,14,SP,SP,0.3354037267080745,0.2901234567901234,0,0,0,0,UFA,64,10404,8,102,14000000,14000000,9500000,7500000,14000000,14000000,0.0,181.1716,0.0,13.46,57000000,800000,73000000,14250000,54,47,0.16809999999999997,1.2544000000000002,-0.41,1.12,3.4969000000000006,1.9880999999999998,1.87,1.41,3,3,4,1849,2,43,0,25,0,5,16.454567887579532,16.06680235657077,16.454567887579532
BOS,BAL,6.6,6.6,2018,9,8,2,20736,31329,144,177,1,2,7056,9409,6084,8100,78,90,84,97,3.4673008323424495,2.3197633136094673,1.8620689655172413,1.523076923076923,0.001845816186556927,0.0022282239235832586,0.04296296296296296,0.04720406681190995,0.0064,0.0051689521124353875,0.08,0.0718954248366013,21.902399999999997,27.9841,4.68,5.29,32,31,TEX,Boston Red Sox,Baltimore Orioles,22500.0,23409.0,150.0,153.0,1764,900,484,784,22,28,42,30,161,162,Andrew Cashner,64,256,8,16,14,7,235,235,24,14,RP,SP,0.515527950310559,0.2901234567901234,1,0,1,0,UFA,11664,9801,108,99,8000000,5000000,1577000,9500000,12500000,9500000,0.0,109.83040000000001,0.0,10.48,16000000,68000000,73000000,8000000,83,47,7.2360999999999995,0.3721,2.69,0.61,1.8225000000000002,2.4964000000000004,1.35,1.58,9,3,3364,4225,58,65,121,25,11,5,15.89495209964411,14.271034865945175,16.34123920227253
WSH,ATL,6.0,6.0,2019,9,8,2,23409,11236,153,106,7,4,5929,2304,5041,1849,71,43,77,48,5.33769322235434,10.331632653061225,2.310344827586207,3.2142857142857144,0.0015071441500047488,0.0011654040762148104,0.038821954484605084,0.03413801511826384,0.008044673114591342,0.012040526807831587,0.08969210174029452,0.1097293343087052,14.822500000000002,8.0089,3.85,2.83,35,34,ATL,Washington Nationals,Atlanta Braves,27556.0,18686.889999999996,166.0,136.7,900,625,900,576,30,24,30,25,162,162,Anibal Sanchez,64,36,8,6,1,18,205,205,6,24,SP,SP,0.5740740740740741,0.5555555555555556,0,0,0,0,UFA,17956,18225,134,135,8000000,1000000,6000000,1000000,10000000,1000000,4994.2489000000005,7216.5025000000005,70.67,84.95,19000000,184550000,2900000,9500000,93,90,13.395600000000002,9.060099999999998,3.66,3.01,1.6129,1.1664,1.27,1.08,1,3,3364,1764,58,42,121,49,11,7,15.89495209964411,15.60727002719233,16.11809565095832
ATL,NYM,6.4,6.4,2018,9,8,2,2704,784,52,28,6,8,900,324,729,324,27,18,30,18,3.7091906721536345,4.903061224489797,1.9259259259259258,2.2142857142857144,0.0031680212891030627,0.003498320181612793,0.05628517823639775,0.05914659907055344,0.011750795014725217,0.017152478033315783,0.10840108401084012,0.13096746937051118,20.793599999999998,37.822500000000005,4.56,6.15,33,32,MIL,Atlanta Braves,New York Mets,2840.89,691.69,53.3,26.3,3481,841,0,0,0,0,59,29,161,162,Anthony Swarzak,16,4,4,2,18,5,215,215,25,9,RP,RP,0.6024844720496895,0.4753086419753086,16,16,4,4,UFA,2704,961,52,31,8000000,5000000,3720463,5500000,8500000,5500000,46.51240000000001,0.0,6.82,0.0,14000000,52210000,89635000,7000000,97,77,0.11560000000000002,0.17639999999999997,-0.34,-0.42,2.1904,2.5600000000000005,1.48,1.6,3,2,729,196,27,14,9,0,3,0,15.89495209964411,15.129358680870123,15.955576721460545
NYY,NYY,6.4,6.4,2017,9,8,5,1444,576,38,24,5,2,324,225,196,196,14,14,18,15,11.559999999999999,9.610000000000001,3.4,3.1,0.0023748997792293162,0.004222044051963229,0.04873294346978557,0.0649772579597141,0.027453841447890898,0.040573843339366644,0.16569200779727095,0.20142949967511373,4.8841,6.0516,2.21,2.46,31,30,CHC,New York Yankees,New York Yankees,3249.0,2631.6899999999996,57.0,51.3,3600,3025,0,0,0,0,60,55,162,162,Aroldis Chapman,4,0,2,0,40,40,218,218,55,54,RP,RP,0.6358024691358025,0.6172839506172839,1369,1024,37,32,UFA,7225,8649,85,93,15000000,15000000,17200000,17200000,17200000,17200000,3961.4435999999996,2417.6889,62.94,49.17,86000000,124555000,14000000,17200000,103,100,2.3104,3.0276,1.52,1.74,1.2321000000000002,1.1025,1.11,1.05,27,27,625,900,25,30,9,9,3,3,16.523560759066484,16.660419941783683,16.660419941783683
PHI,LAA,6.3,6.3,2019,9,8,0,2809,3969,53,63,4,3,1024,576,961,576,31,24,32,24,8.729338842975206,13.573407202216066,2.9545454545454546,3.6842105263157894,0.0015901547604978883,0.001013900007383776,0.039876744607576585,0.0318417965476789,0.013880999717156152,0.01376207766254987,0.11781765452238536,0.11731188201776438,20.702499999999997,10.6276,4.55,3.26,34,33,LAA,Philadelphia Phillies,Los Angeles Angels,3757.6899999999996,4395.69,61.3,66.3,3600,4489,4,0,2,0,60,67,162,162,Blake Parker,9,1,3,1,7,1,225,225,14,10,RP,RP,0.5,0.4938271604938271,100,225,10,15,UFA,4225,4900,65,70,555000,1800000,185008,1800000,555000,1800000,2099.4724,2800.5264,45.82,52.92,0,403000000,42800000,0,81,80,0.09,1.0,0.3,1.0,1.4884,1.5376,1.22,1.24,2,1,484,361,22,19,9,4,3,2,13.226723392728571,12.128154346368744,13.226723392728571
NYM,ATL,6.6,6.6,2019,9,8,0,3249,5184,57,72,6,4,1089,1024,1089,625,33,25,33,32,3.746097814776275,4.591836734693877,1.935483870967742,2.142857142857143,0.004023821525887555,0.0024620448620374,0.06343359934520156,0.049618996987418035,0.015073629025177107,0.011305308039967652,0.12277470841006753,0.10632642211589578,29.920899999999996,12.8881,5.47,3.59,33,32,CHC,New York Mets,Atlanta Braves,2948.49,3931.2900000000004,54.3,62.7,3481,4761,0,0,0,0,59,69,161,162,Brad Brach,16,16,4,4,5,18,215,215,9,24,RP,RP,0.5279503105590062,0.5555555555555556,0,144,0,12,UFA,3600,3600,60,60,555000,5165000,158152,1749447,555000,5165000,535.9224999999999,230.7361,23.15,15.19,0,79000000,2900000,0,85,90,0.1369,0.004900000000000001,-0.37,-0.07,2.6244000000000005,2.5600000000000005,1.62,1.6,2,3,961,784,31,28,25,4,5,2,13.226723392728571,11.971311874875774,13.226723392728571
OAK,OAK,6.4,6.4,2019,9,8,1,32761,8100,181,90,6,3,6400,1764,5776,1600,76,40,80,42,3.3735943356934612,13.071005917159763,1.836734693877551,3.6153846153846154,0.0009569336037139069,0.00032357174808143494,0.030934343434343436,0.017988100179881002,0.0032283057851239666,0.0042294082337981645,0.056818181818181816,0.06503390065033901,15.132100000000001,20.070400000000003,3.89,4.48,31,30,OAK,Oakland Athletics,Oakland Athletics,30976.0,6448.089999999999,176.0,80.3,1024,289,961,289,31,17,32,17,162,162,Brett Anderson,81,25,9,5,15,15,230,230,28,27,SP,SP,0.5987654320987654,0.5987654320987654,0,0,0,0,UFA,8100,2209,90,47,1500000,4000000,1500000,3268817,1500000,4000000,6087.1204,1289.5280999999998,78.02,35.91,1500000,37600000,18000000,1500000,97,97,6.3504000000000005,0.22089999999999999,2.52,0.47,1.7161000000000002,1.6384,1.31,1.28,9,9,2401,169,49,13,169,16,13,4,14.22097566607244,14.22097566607244,14.22097566607244
