Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Juegos_iniciados_t,Inning_pitched_t,Bateos_pitcher_t,Carreras_t,Carreras_ganadas_t,Walks_t,Strike_outs_t,Wins_t,Losses_t,Saves_t,WHIP_t,ERA_t,Equipo_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Dominio_t,Control_t,Comando_t,Juegos_2_t,Juegos_iniciados_2_t,Inning_pitched_2_t,Bateos_pitcher_2_t,Carreras_2_t,Carreras_ganadas_2_t,Walks_2_t,Strike_outs_2_t,Wins_2_t,Losses_2_t,Saves_2_t,WHIP_2_t,ERA_2_t,Control_2_t,Comando_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Juegos_iniciados_t_1,Inning_pitched_t_1,Bateos_pitcher_t_1,Carreras_t_1,Carreras_ganadas_t_1,Walks_t_1,Strike_outs_t_1,Wins_t_1,Losses_t_1,Saves_t_1,WHIP_t_1,ERA_t_1,Equipo_t_1,Dominio_t_1,Control_t_1,Comando_t_1,Juegos_2_t_1,Juegos_iniciados_2_t_1,Inning_pitched_2_t_1,Bateos_pitcher_2_t_1,Carreras_2_t_1,Carreras_ganadas_2_t_1,Walks_2_t_1,Strike_outs_2_t_1,Wins_2_t_1,Losses_2_t_1,Saves_2_t_1,WHIP_2_t_1,ERA_2_t_1,Control_2_t_1,Comando_2_t_1
Zach Duke,5,3,15000000,5000000,72,0,61.7,47,26,23,32,67,3,6,1,1.28,3.36,CHW,15.319587954740548,15.319587954740548,15.319587954740548,0.1206555015307041,0.0576265081937691,2.09375,5184,0,3806.89,2209,676,529,1024,4489,9,36,1,1.6384,11.289599999999998,0.0033208144466065,4.3837890625,4,1,850000,850000,74,0,58.7,49,19,16,17,74,5,1,0,1.13,2.46,MIL,0.1400719288283172,0.0321786863524512,4.352941176470588,5476,0,3445.6900000000005,2401,361,256,289,5476,25,1,0,1.2768999999999997,6.0516,0.0010354678553694,18.948096885813147
Francisco Rodriguez,5,2,13000000,6500000,60,0,57.0,38,15,14,11,62,1,3,38,0.86,2.21,MIL,15.068273526459642,15.068273526459642,15.068273526459642,0.1208576998050682,0.0214424951267056,5.636363636363637,3600,0,3249.0,1444,225,196,121,3844,1,9,1444,0.7395999999999999,4.8841,0.0004597805972587,31.76859504132232,4,1,3250000,3250000,69,0,68.0,49,23,23,18,73,5,5,44,0.99,3.04,MIL,0.119281045751634,0.0294117647058823,4.055555555555555,4761,0,4624.0,2401,529,529,324,5329,25,25,1936,0.9801,9.2416,0.0008650519031141,16.447530864197528
Pat Neshek,5,2,12500000,6250000,66,0,54.7,49,25,22,12,51,3,6,1,1.12,3.62,HOU,15.520258650202699,15.520258650202699,15.520258650202699,0.1035953686776355,0.024375380865326,4.25,4356,0,2992.09,2401,625,484,144,2601,9,36,1,1.2544000000000002,13.1044,0.0005941591923297,18.0625,4,1,1000000,1000000,71,0,67.3,44,14,14,9,68,7,2,6,0.79,1.87,STL,0.1122667987452534,0.0148588410104011,7.555555555555555,5041,0,4529.29,1936,196,196,81,4624,49,4,36,0.6241000000000001,3.496900000000001,0.0002207851561723,57.08641975308642
Chris Capuano,5,1,5000000,5000000,22,4,40.7,52,38,36,22,38,0,4,0,1.82,7.97,NYY,15.424948470398375,15.424948470398375,15.424948470398375,0.1037401037401037,0.06006006006006,1.7272727272727273,484,16,1656.4900000000002,2704,1444,1296,484,1444,0,16,0,3.3124,63.5209,0.003607210814418,2.9834710743801653,4,1,2250000,2250000,40,12,97.3,101,51,47,34,84,3,4,0,1.39,4.35,NYY,0.0959232613908873,0.0388260819915496,2.4705882352941178,1600,144,9467.29,10201,2601,2209,1156,7056,9,16,0,1.9321,18.9225,0.0015074646428145,6.103806228373703
Jim Johnson,5,1,1600000,1600000,72,0,66.7,77,36,33,20,50,2,6,10,1.46,4.46,LAD,13.280720056744451,13.280720056744451,13.280720056744451,0.0832916874895885,0.0333166749958354,2.5,5184,0,4448.89,5929,1296,1089,400,2500,4,36,100,2.1316,19.8916,0.0011100008327781,6.25,4,1,0,0,54,0,53.3,69,46,42,35,42,5,2,2,1.95,7.09,DET,0.0875547217010631,0.0729622680842193,1.2,2916,0,2840.89,4761,2116,1764,1225,1764,25,4,4,3.8025,50.2681,0.0053234925639934,1.44
Matt Albers,5,1,1500000,1500000,30,0,37.3,31,6,5,9,28,2,0,0,1.07,1.21,CHW,14.22097566607244,14.22097566607244,14.22097566607244,0.0834078045874292,0.0268096514745308,3.111111111111111,900,0,1391.2899999999995,961,36,25,81,784,4,0,0,1.1449,1.4641,0.0007187574121858,9.679012345679013,4,1,2450000,2450000,8,0,10.0,10,1,1,3,8,0,0,0,1.3,0.9,HOU,0.0888888888888888,0.0333333333333333,2.6666666666666665,64,0,100.0,100,1,1,9,64,0,0,0,1.6900000000000002,0.81,0.0011111111111111,7.111111111111111
Joba Chamberlain,5,1,1000000,1000000,36,0,27.7,39,20,19,9,23,0,2,0,1.74,6.18,KC,13.137251989898079,13.137251989898079,11.185850931283975,0.0922583233052547,0.0361010830324909,2.555555555555556,1296,0,767.29,1521,400,361,81,529,0,4,0,3.0276,38.1924,0.0013032881961188,6.530864197530863,4,1,2500000,2500000,69,0,63.0,57,26,25,24,59,2,5,2,1.29,3.57,DET,0.1040564373897707,0.0423280423280423,2.458333333333333,4761,0,3969.0,3249,676,625,576,3481,4,25,4,1.6641,12.7449,0.0017916631673245,6.043402777777779
Chris Young,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,14.73180128983843,14.73180128983843,14.73180128983843,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993,4,1,7250000,7250000,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,SEA,0.0727272727272727,0.0404040404040404,1.8,900,841,27225.0,20449,4900,4489,3600,11664,144,81,0,1.5129,13.395600000000002,0.0016324864809713,3.24
Chris Young,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,14.73180128983843,14.73180128983843,14.73180128983843,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993,4,1,7250000,7250000,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,NYY,0.0727272727272727,0.0404040404040404,1.8,900,841,27225.0,20449,4900,4489,3600,11664,144,81,0,1.5129,13.395600000000002,0.0016324864809713,3.24
Chris Young,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,KC,13.422467969854667,13.422467969854667,13.422467969854667,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993,4,1,7250000,7250000,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,SEA,0.0727272727272727,0.0404040404040404,1.8,900,841,27225.0,20449,4900,4489,3600,11664,144,81,0,1.5129,13.395600000000002,0.0016324864809713,3.24
