Acronimo,Altura,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Victorias,WAR,WAR_2,WS ganadas
NYY,6.3,213,45369,59,3481,2,2,29,New York Yankees,New York,22,484,56,60,3136,Luke Voit,0.948,0.898704,40,255,56,0.277,0.07672900000000002,0.933,0.8704890000000001,1B,0.55,52,2704,634000,634000,234815,96.57,9325.764899999998,336500000,33,1.48,2.1904,27
NYY,6.0,151,22801,45,2025,2,2,28,New York Yankees,New York,6,36,43,60,1849,Giovanny Urshela,0.86,0.7395999999999999,40,215,56,0.298,0.088804,0.717,0.5140889999999999,3B,0.55,30,900,2475000,2475000,916667,89.98,8096.4004,336500000,33,1.87,3.4969000000000006,27
NYY,6.1,169,28561,38,1444,2,2,30,New York Yankees,New York,6,36,54,60,2916,Aaron Hicks,0.793,0.6288490000000001,40,205,56,0.225,0.050625,0.9,0.81,CF,0.55,21,441,10785714,10500000,4174603,57.8,3340.8399999999997,336500000,33,0.49,0.24009999999999998,27
NYY,6.1,136,18496,33,1089,2,2,23,New York Yankees,New York,3,9,42,60,1764,Gleyber Torres,0.724,0.524176,40,205,56,0.243,0.059049,0.7,0.48999999999999994,SS,0.55,16,256,675500,675500,250222,40.07,1605.6049,336500000,33,-0.21,0.04409999999999999,27
NYY,6.7,101,10201,26,676,2,2,28,New York Yankees,New York,9,81,28,60,784,Aaron Judge,0.891,0.7938810000000001,40,282,56,0.257,0.066049,0.467,0.21808900000000003,RF,0.55,22,484,8500000,8500000,3148148,0.0,0.0,336500000,33,0.99,0.9801,27
NYY,6.2,156,24336,23,529,2,2,27,New York Yankees,New York,10,100,49,60,2401,Gary Sanchez,0.618,0.381924,40,230,56,0.147,0.021608999999999996,0.817,0.6674889999999999,C,0.55,24,576,5000000,5000000,1851852,17.6,309.76000000000005,336500000,33,-0.51,0.2601,27
NYY,6.2,95,9025,23,529,2,2,29,New York Yankees,New York,0,0,43,60,1849,Mike Tauchman,0.648,0.419904,40,220,56,0.242,0.058564,0.717,0.5140889999999999,LF,0.55,14,196,603100,603100,223370,28.79,828.8641,336500000,33,-0.16,0.0256,27
NYY,6.6,76,5776,19,361,2,2,30,New York Yankees,New York,4,16,23,60,529,Giancarlo Stanton,0.887,0.786769,40,245,56,0.25,0.0625,0.383,0.146689,DH,0.55,11,121,26000000,26000000,9629630,0.0,0.0,336500000,33,0.44,0.1936,27
NYY,6.1,88,7744,15,225,2,2,25,New York Yankees,New York,3,9,52,60,2704,Tyler Wade,0.595,0.354025,40,188,56,0.171,0.029241000000000003,0.867,0.7516889999999999,2B,0.55,10,100,582800,582800,215852,24.1,580.8100000000001,336500000,33,0.46,0.2116,27
NYY,6.1,48,2304,12,144,2,2,30,New York Yankees,New York,4,16,16,60,256,Kyle Higashioka,0.771,0.594441,40,202,56,0.25,0.0625,0.267,0.071289,C,0.55,10,100,579200,579200,214519,0.0,0.0,336500000,33,0.3,0.09,27
NYY,0.0,28,784,9,81,2,2,40,New York Yankees,New York,0,0,18,60,324,Erik Kratz,0.76,0.5776,40,250,56,0.321,0.10304100000000001,0.3,0.09,C,0.55,4,16,1000000,1000000,281924,0.0,0.0,336500000,33,0.33,0.10890000000000001,27
WSH,6.2,233,54289,78,6084,1,10,27,Washington Nationals,Washington DC,12,144,59,62,3481,Trea Turner,0.982,0.964324,1,185,6,0.335,0.11222500000000002,0.983,0.966289,SS,0.4193548387096774,41,1681,7450000,7450000,2759259,98.34,9670.7556,316750000,26,2.16,4.6656,1
WSH,6.1,154,23716,54,2916,1,10,21,Washington Nationals,Washington DC,13,169,47,62,2209,Juan Soto,1.185,1.404225,1,185,6,0.351,0.12320099999999999,0.783,0.613089,LF,0.4193548387096774,37,1369,629400,629400,233111,99.99,9998.0001,316750000,26,2.06,4.2436,1
WSH,6.2,134,17956,37,1369,1,10,20,Washington Nationals,Washington DC,2,4,40,62,1600,Luis Garcia,0.668,0.44622400000000007,1,211,6,0.276,0.07617600000000001,0.667,0.44488900000000003,SS,0.4193548387096774,16,256,563500,563500,140175,19.9,396.00999999999993,316750000,26,-0.3,0.09,1
WSH,6.0,168,28224,37,1369,1,10,23,Washington Nationals,Washington DC,3,9,52,62,2704,Victor Robles,0.608,0.369664,1,190,6,0.22,0.0484,0.867,0.7516889999999999,CF,0.4193548387096774,15,225,592800,592800,219556,17.48,305.5504,316750000,26,-0.56,0.31360000000000005,1
WSH,5.9,159,25281,36,1296,1,10,31,Washington Nationals,Washington DC,4,16,41,62,1681,Adam Eaton,0.669,0.44756100000000004,1,180,6,0.226,0.051076,0.683,0.4664890000000001,RF,0.4193548387096774,17,289,9500000,9500000,3518519,21.26,451.98760000000004,316750000,26,-0.7,0.48999999999999994,1
WSH,5.8,79,6241,22,484,1,10,32,Washington Nationals,Washington DC,3,9,33,62,1089,Josh Harrison,0.769,0.591361,1,185,6,0.279,0.07784100000000002,0.55,0.30250000000000005,2B,0.4193548387096774,14,196,1000000,1000000,348258,0.0,0.0,316750000,26,0.3,0.09,1
WSH,6.2,99,9801,20,400,1,10,22,Washington Nationals,Washington DC,0,0,33,62,1089,Carter Kieboom,0.556,0.3091360000000001,1,190,6,0.202,0.04080400000000001,0.55,0.30250000000000005,3B,0.4193548387096774,9,81,564700,564700,177954,0.0,0.0,316750000,26,0.13,0.016900000000000002,1
WSH,6.4,92,8464,18,324,1,10,29,Washington Nationals,Washington DC,5,25,38,62,1444,Michael Taylor,0.676,0.45697600000000005,1,215,6,0.196,0.038416000000000006,0.633,0.400689,CF,0.4193548387096774,16,256,3325000,3325000,1231481,14.04,197.12159999999997,316750000,26,-0.46,0.2116,1
WSH,6.0,41,1681,15,225,1,10,26,Washington Nationals,Washington DC,2,4,15,62,225,Andrew Stevenson,1.179,1.390041,1,192,6,0.366,0.133956,0.25,0.0625,OF,0.4193548387096774,12,144,563500,563500,71645,0.0,0.0,316750000,26,0.77,0.5929,1
WSH,6.2,17,289,6,36,1,10,26,Washington Nationals,Washington DC,0,0,7,62,49,Jake Noll,0.765,0.585225,1,215,6,0.353,0.12460899999999998,0.117,0.013689000000000002,2B,0.4193548387096774,0,0,563500,563500,43610,0.0,0.0,316750000,26,-0.12,0.0144,1
WSH,5.9,26,676,5,25,1,10,32,Washington Nationals,Washington DC,1,1,12,62,144,Yadiel Hernandez,0.637,0.405769,1,185,6,0.192,0.036864,0.2,0.04000000000000001,OF,0.4193548387096774,6,36,563500,563500,49840,0.0,0.0,316750000,26,-0.17,0.028900000000000006,1
