Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
PHI,6.5,2014,1,205,42025,2,7,122,14884,109,11881,1.9791666666666667,3.9171006944444446,0.04991420995164561,0.002491428355096958,0.0987885405292986,0.009759175739908872,4.59,21.068099999999998,37,Philadelphia Phillies,PIT,Pennsylvania,213.7,45667.689999999995,34,162,1156,34,1156,A.J. Burnett,18,324,7,230,14,SP,0.4506172839506173,0,0,UFA,190,36100,11250000,7500000,11250000,12.28,150.7984,16000000,59875000,16000000,73,0.17,0.028900000000000006,1.41,1.9880999999999998,2,96,9216,8,64
DET,6.0,2013,5,108,11664,1,5,55,3025,48,2304,3.4,11.559999999999999,0.026455026455026454,0.0006998684247361495,0.08994708994708994,0.00809047898994989,3.43,11.7649,30,Detroit Tigers,DET,Michigan,126.0,15876.0,22,162,484,21,441,Anibal Sanchez,5,25,11,205,16,RP,0.5555555555555556,0,0,UFA,102,10404,15800000,15000000,15800000,58.16,3382.5855999999994,80000000,33500000,16000000,90,2.28,5.1983999999999995,1.1,1.2100000000000002,4,30,900,8,64
COL,6.5,2014,3,31,961,1,6,20,400,19,361,2.909090909090909,8.462809917355372,0.04888888888888889,0.0023901234567901236,0.14222222222222222,0.02022716049382716,6.84,46.785599999999995,29,Colorado Rockies,NYY,Colorado,25.0,625.0,35,161,1225,0,0,Boone Logan,3,9,1,215,3,RP,0.4099378881987577,0,0,UFA,32,1024,4750000,4750000,4750000,0.0,0.0,16500000,31250000,5500000,66,-0.99,0.9801,1.68,2.8223999999999996,0,11,121,2,4
ARI,6.4,2014,2,60,3600,1,8,29,841,26,676,2.25,5.0625,0.03980099502487562,0.001584119204970174,0.08955223880597014,0.008019603475161506,3.49,12.180100000000001,34,Arizona Diamondbacks,ARI,Arizona,67.0,4489.0,68,161,4624,0,0,Brad Ziegler,3,9,1,220,5,RP,0.3975155279503105,1,1,UFA,54,2916,4500000,4500000,4500000,17.3,299.29,10500000,42450000,5250000,64,0.25,0.0625,1.25,1.5625,1,24,576,5,25
NYY,6.7,2013,2,222,49284,2,9,100,10000,90,8100,5.303030303030303,28.122130394857663,0.018333333333333333,0.00033611111111111114,0.09722222222222222,0.00945216049382716,4.05,16.4025,30,New York Yankees,OAK,New York,200.0,40000.0,32,162,1024,32,1024,Brandon McCarthy,15,225,40,225,50,SP,0.5185185185185185,0,0,UFA,175,30625,10250000,9000000,4180327,25.12,631.0144,15500000,311500000,7750000,84,-0.69,0.4760999999999999,1.27,1.6129,27,33,1089,10,100
LAD,0.0,2014,2,49,2401,5,11,26,676,25,625,1.8620689655172413,3.4673008323424495,0.06671267540832758,0.004450581060136875,0.12422360248447205,0.01543150341422013,4.66,21.715600000000002,32,Los Angeles Dodgers,LAD,California,48.3,2332.89,61,161,3721,0,0,Brian Wilson,4,16,25,0,28,RP,0.577639751552795,1,1,UFA,54,2916,10000000,10000000,10000000,0.09,0.0081,19000000,61150000,9500000,93,-0.52,0.27040000000000003,1.61,2.5921000000000003,6,29,841,2,4
ARI,6.4,2014,2,92,8464,1,8,40,1600,39,1521,2.473684210526316,6.119113573407203,0.02454780361757106,0.0006025946624468348,0.060723514211886306,0.0036873451782411582,4.08,16.6464,37,Arizona Diamondbacks,CIN,Arizona,86.0,7396.0,15,161,225,14,196,Bronson Arroyo,4,16,1,185,5,SP,0.3975155279503105,0,0,UFA,47,2209,9500000,9500000,9500000,0.0,0.0,23500000,42450000,11750000,64,0.55,0.30250000000000005,1.29,1.6641000000000001,1,19,361,7,49
LAA,6.1,2012,5,169,28561,5,8,95,9025,88,7744,1.776470588235294,3.1558477508650515,0.05375324100423702,0.002889410918459588,0.09549105166635047,0.009118540948345615,4.51,20.3401,33,Los Angeles Angels,TEX,California,175.7,30870.489999999994,32,161,1024,31,961,C.J. Wilson,10,100,1,210,10,SP,0.6086956521739131,0,0,UFA,151,22801,16500000,16000000,16500000,5.02,25.200399999999995,77500000,22100000,15500000,98,-0.23,0.0529,1.45,2.1025,1,85,7225,13,169
CHC,6.2,2013,2,89,7921,2,13,42,1764,40,1600,3.789473684210526,14.360110803324098,0.02717002717002717,0.0007382103764200145,0.10296010296010295,0.010600782801555,4.64,21.5296,30,Chicago Cubs,TOR,Illinois,77.7,6037.290000000001,42,162,1764,5,25,Carlos Villanueva,7,49,17,215,16,RP,0.4506172839506173,2,4,UFA,72,5184,5000000,5000000,5000000,0.0,0.0,10000000,9650000,5000000,73,-0.03,0.0009,1.39,1.9320999999999997,2,19,361,5,25
HOU,6.4,2014,2,54,2916,2,8,22,484,19,361,8.6,73.96,0.010829542993285684,0.00011727900144342304,0.09313406974225688,0.008673954946755569,3.33,11.0889,35,Houston Astros,MIA,Texas,51.3,2631.6899999999996,58,162,3364,0,0,Chad Qualls,5,25,1,245,9,RP,0.4320987654320987,19,361,UFA,43,1849,2750000,2750000,2750000,57.82,3343.1524,6000000,43800000,3000000,70,0.44,0.1936,1.15,1.3224999999999998,0,5,25,1,1
