Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Josh Donaldson,2020,UFA,ATL,4,92000000,23000000,3B,28,0.467,81,18,6,11,0.222,0.842,MIN,21000000,21000000,6666667,784,0.21808900000000003,6561,324,36,121,0.049284,0.7089639999999999
Yasmani Grandal,2020,UFA,MIL,4,73000000,18250000,C,46,0.767,161,37,8,27,0.23,0.773,CHW,18250000,18250000,6759259,2116,0.5882890000000001,25921,1369,64,729,0.0529,0.597529
Nick Castellanos,2020,UFA,CHC,4,64000000,16000000,RF,60,1.0,218,49,14,34,0.225,0.784,CIN,16000000,16000000,5925926,3600,1.0,47524,2401,196,1156,0.050625,0.6146560000000001
Mike Moustakas,2020,UFA,MIL,4,64000000,16000000,2B,44,0.733,139,32,8,27,0.23,0.799,CIN,12000000,12000000,4444444,1936,0.537289,19321,1024,64,729,0.0529,0.6384010000000001
Will Smith,2020,UFA,SF,3,40000000,13333333,C,37,0.617,114,33,8,25,0.29,0.98,ATL,13000000,13000000,4814815,1369,0.380689,12996,1089,64,625,0.0841,0.9603999999999999
Will Smith,2020,UFA,SF,3,40000000,13333333,C,37,0.617,114,33,8,25,0.29,0.98,LAD,573500,573500,212407,1369,0.380689,12996,1089,64,625,0.0841,0.9603999999999999
Avisail Garcia,2020,UFA,TB,2,20000000,10000000,LF,53,0.883,181,43,2,15,0.238,0.659,MIL,7000000,7250000,2842593,2809,0.779689,32761,1849,4,225,0.05664399999999999,0.43428100000000003
Marcell Ozuna,2020,UFA,STL,1,18000000,18000000,LF,60,1.0,228,77,18,56,0.338,1.067,ATL,18000000,18000000,6666667,3600,1.0,51984,5929,324,3136,0.11424400000000001,1.1384889999999999
Corey Dickerson,2020,UFA,PHI,2,17500000,8750000,LF,52,0.867,194,50,7,17,0.258,0.713,MIA,8000000,8000000,2592593,2704,0.7516889999999999,37636,2500,49,289,0.066564,0.508369
Kole Calhoun,2020,UFA,LAA,2,16000000,8000000,RF,54,0.9,190,43,16,40,0.226,0.864,ARI,6000000,6000000,2222222,2916,0.81,36100,1849,256,1600,0.051076,0.7464959999999999
