Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias
New York Yankees,9,311500000,NYY,84,162,50,40,27,0.5185185185185185
Seattle Mariners,8,267800000,SEA,86,161,4,0,0,0.5341614906832298
Texas Rangers,7,136050000,TEX,67,162,6,2,0,0.41358024691358025
Minnesota Twins,7,97290983,MIN,70,162,14,6,3,0.43209876543209874
New York Mets,10,93775000,NYM,79,162,8,5,2,0.4876543209876543
Kansas City Royals,4,66500000,KC,89,162,8,3,1,0.5493827160493827
Los Angeles Dodgers,11,61150000,LAD,93,161,28,25,6,0.577639751552795
Philadelphia Phillies,7,59875000,PHI,73,162,14,7,2,0.4506172839506173
St. Louis Cardinals,5,59750000,STL,89,161,27,23,11,0.5527950310559007
Milwaukee Brewers,7,57600000,MIL,82,162,4,1,0,0.5061728395061729
Boston Red Sox,9,56433443,BOS,71,162,21,13,8,0.4382716049382716
Atlanta Braves,5,47350000,ATL,79,162,23,18,3,0.4876543209876543
Houston Astros,8,43800000,HOU,70,162,9,1,0,0.43209876543209874
Arizona Diamondbacks,8,42450000,ARI,64,161,5,1,1,0.39751552795031053
Miami Marlins,10,39486387,MIA,77,162,2,2,2,0.47530864197530864
Detroit Tigers,5,33500000,DET,90,162,16,11,4,0.5555555555555556
Oakland Athletics,5,32800000,OAK,88,162,26,15,9,0.5432098765432098
Colorado Rockies,6,31250000,COL,66,161,3,1,0,0.40993788819875776
Tampa Bay Rays,5,28150000,TB,77,162,4,1,0,0.47530864197530864
San Francisco Giants,7,25850000,SF,87,161,25,23,8,0.5403726708074534
San Diego Padres,7,25700000,SD,77,161,5,2,0,0.4782608695652174
Baltimore Orioles,10,23300000,BAL,96,162,13,7,3,0.5925925925925926
Los Angeles Angels,8,22100000,LAA,98,161,10,1,1,0.6086956521739131
Cincinnati Reds,6,15125000,CIN,76,162,15,10,5,0.4691358024691358
Washington Nationals,8,14150000,WSH,96,162,3,1,0,0.5925925925925926
Chicago White Sox,10,12250000,CHW,73,162,9,6,3,0.4506172839506173
Chicago Cubs,13,9650000,CHC,73,162,16,17,2,0.4506172839506173
Toronto Blue Jays,2,8000000,TOR,83,162,5,2,2,0.5123456790123457
Pittsburgh Pirates,1,5000000,PIT,88,162,16,9,5,0.5432098765432098
