Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
TEX,6.3,2013,3,1,503,253009,137,18769,2,12,36,Texas Rangers,CHW,Texas,17,289,134,162,17956,A.J. Pierzynski,0.722,0.521284,2,250,6,0.272,0.07398400000000001,0.822,0.675684,C,0.5617283950617284,70,4900,UFA,7500000,7500000,7500000,28.32,802.0224000000001,7500000,33750000,7500000,91,1.84,3.3856,0,15.830413578506539,15.830413578506539,15.830413578506539
NYM,6.7,2012,3,2,11,121,2,4,2,10,35,New York Mets,SD,New York,0,0,26,162,676,Aaron Harang,0.364,0.132496,5,260,8,0.182,0.033124,0.161,0.025921000000000003,SP,0.4567901234567901,0,0,UFA,5500000,5500000,5500000,8.02,64.32039999999999,12000000,7150000,6000000,74,0.24,0.0576,2,15.520258650202699,15.520258650202699,15.520258650202699
WSH,6.2,2013,3,2,511,261121,121,14641,1,11,33,Washington Nationals,WSH,Washington DC,20,400,152,162,23104,Adam LaRoche,0.735,0.540225,1,205,2,0.237,0.056169,0.938,0.8798439999999998,DH,0.5308641975308642,62,3844,UFA,10000000,10000000,10000000,22.89,523.9521,24000000,67000000,12000000,86,0.83,0.6889,0,16.11809565095832,16.11809565095832,16.11809565095832
LAA,6.3,2012,3,10,391,152881,101,10201,5,8,33,Los Angeles Angels,STL,California,17,289,99,162,9801,Albert Pujols,0.767,0.5882890000000001,1,235,10,0.258,0.066564,0.611,0.37332099999999996,DH,0.4814814814814814,64,4096,UFA,16000000,16000000,16000000,13.7,187.68999999999997,240000000,153500000,24000000,78,1.46,2.1315999999999997,1,16.588099280204055,16.588099280204055,16.588099280204055
SF,6.2,2013,3,4,280,78400,79,6241,5,6,31,San Francisco Giants,SF,California,5,25,71,162,5041,Angel Pagan,0.749,0.561001,23,202,23,0.282,0.07952399999999998,0.438,0.191844,LF,0.4691358024691358,30,900,UFA,8250000,7000000,8250000,0.0,0.0,40000000,80750000,10000000,76,0.86,0.7395999999999999,7,15.925723758310864,15.761420707019587,15.925723758310864
DET,6.0,2013,3,5,4,16,0,0,1,4,29,Detroit Tigers,DET,Michigan,0,0,29,162,841,Anibal Sanchez,0.2,0.04000000000000001,11,205,15,0.0,0.0,0.179,0.032041,RP,0.5740740740740741,0,0,UFA,8800000,8000000,8800000,80.8,6528.639999999999,80000000,107775000,16000000,93,6.02,36.240399999999994,4,15.990262279448435,15.89495209964411,15.990262279448435
MIL,6.1,2012,3,3,304,92416,86,7396,1,7,35,Milwaukee Brewers,CHC,Wisconsin,12,144,92,162,8464,Aramis Ramirez,0.831,0.690561,1,215,4,0.283,0.08008899999999998,0.568,0.32262399999999997,3B,0.4567901234567901,49,2401,UFA,10000000,10000000,10000000,0.0,0.0,36000000,43300000,12000000,74,0.63,0.39690000000000003,0,16.11809565095832,16.11809565095832,16.11809565095832
ARI,6.7,2013,3,2,37,1369,1,1,1,7,29,Arizona Diamondbacks,OAK,Arizona,0,0,22,162,484,Brandon McCarthy,0.127,0.016129,1,225,5,0.027,0.0007289999999999999,0.136,0.018496000000000002,SP,0.5,0,0,UFA,5250000,4000000,5250000,34.32,1177.8624,15500000,54650000,7750000,81,-0.22,0.0484,1,15.473738634567807,15.201804919084164,15.473738634567807
BOS,6.2,2013,3,1,50,2500,9,81,1,10,26,Boston Red Sox,TEX,Massachusetts,2,4,27,162,729,Brandon Snyder,0.572,0.3271839999999999,13,225,21,0.18,0.0324,0.167,0.027889000000000004,3B,0.5987654320987654,7,49,UFA,490000,490000,259726,0.0,0.0,0,130700000,0,97,-0.4,0.16000000000000003,8,13.102160670086809,13.102160670086809,12.46738250815752
DET,5.9,2013,3,1,229,52441,68,4624,1,4,31,Detroit Tigers,KC,Michigan,4,16,71,162,5041,Brayan Pena,0.713,0.508369,11,242,15,0.297,0.088209,0.438,0.191844,C,0.5740740740740741,22,484,UFA,875000,875000,875000,0.0,0.0,875000,107775000,875000,93,0.36,0.1296,4,13.681979165339751,13.681979165339751,13.681979165339751
CHC,6.3,2013,3,1,143,20449,39,1521,2,10,29,Chicago Cubs,HOU,Illinois,6,36,47,162,2209,Brian Bogusevic,0.784,0.6146560000000001,17,216,16,0.273,0.07452900000000001,0.29,0.0841,RF,0.4074074074074074,16,256,UFA,490000,490000,265081,0.0,0.0,0,73850000,0,66,0.36,0.1296,2,13.102160670086809,13.102160670086809,12.4877907186411
CHW,6.1,2013,3,1,18,324,1,1,2,5,26,Chicago White Sox,STL,Illinois,0,0,10,162,100,Bryan Anderson,0.216,0.046655999999999996,6,200,9,0.056,0.0031360000000000003,0.062,0.0038439999999999998,C,0.3888888888888889,2,4,UFA,490000,490000,80327,0.0,0.0,0,14800000,0,63,,,3,13.102160670086809,13.102160670086809,11.293861082522517
LAA,6.1,2012,3,5,8,64,1,1,5,8,32,Los Angeles Angels,TEX,California,0,0,33,162,1089,C.J. Wilson,0.347,0.12040899999999999,1,210,10,0.125,0.015625,0.204,0.04161599999999999,SP,0.4814814814814814,0,0,UFA,11500000,11000000,11500000,49.17,2417.6889,77500000,153500000,15500000,78,3.43,11.7649,1,16.25785759333348,16.213405830762646,16.25785759333348
STL,6.1,2012,3,2,554,306916,164,26896,2,6,36,St. Louis Cardinals,SF,Missouri,24,576,145,162,21025,Carlos Beltran,0.83,0.6889,23,213,27,0.296,0.08761599999999999,0.895,0.801025,DH,0.5987654320987654,84,7056,UFA,13050000,13000000,13050000,47.95,2299.2025000000003,26000000,13650000,13000000,97,2.33,5.4289000000000005,11,16.384298691732976,16.38045991542581,16.384298691732976
KC,0.0,2013,3,1,280,78400,58,3364,2,5,35,Kansas City Royals,TB,Missouri,8,64,89,162,7921,Carlos Pena,0.668,0.44622400000000007,2,0,7,0.207,0.042849,0.549,0.30140100000000003,1B,0.5308641975308642,25,625,UFA,490000,490000,74972,0.0,0.0,2900000,26100000,2900000,86,-0.31,0.0961,1,13.102160670086809,13.102160670086809,11.224869989478876
CHC,6.2,2013,3,2,32,1024,5,25,2,10,29,Chicago Cubs,TOR,Illinois,0,0,47,162,2209,Carlos Villanueva,0.313,0.097969,17,215,16,0.156,0.024336,0.29,0.0841,RP,0.4074074074074074,1,1,UFA,5000000,5000000,5000000,0.0,0.0,10000000,73850000,5000000,66,1.44,2.0736,2,15.424948470398375,15.424948470398375,15.424948470398375
OAK,6.2,2013,3,1,335,112225,67,4489,5,3,29,Oakland Athletics,NYM,California,12,144,106,162,11236,Chris Young,0.657,0.43164900000000006,15,200,25,0.2,0.04000000000000001,0.654,0.42771600000000004,RF,0.5925925925925926,40,1600,UFA,8700000,8500000,8700000,18.99,360.6200999999999,2000000,3000000,2000000,96,-0.29,0.0841,9,15.978833583624812,15.955576721460545,15.978833583624812
PIT,6.1,2012,3,2,304,92416,64,4096,2,8,34,Pittsburgh Pirates,HOU,Pennsylvania,5,25,108,162,11664,Clint Barmes,0.558,0.3113640000000001,9,190,15,0.211,0.044521,0.667,0.44488900000000003,SS,0.5802469135802469,23,529,UFA,5500000,5500000,5500000,3.69,13.6161,10500000,28875000,5250000,94,0.22,0.0484,5,15.520258650202699,15.520258650202699,15.520258650202699
